tag,actionable
nan,0
raining,0
Feeling overwhelmed,0
Sugar,1
babcia,0
lots of desk work,1
Massive stomach event,0
Visitors,0
Netflix day,1
Dr. Wu,0
work + times square,0
no air conditioning,0
cat escaped,0
Moodswings,0
Missed Nabilone,0
Dance audition,0
Period start,0
couldnt focus,0
design project,0
tired all day,0
ending the day with a bit of dizziness,0
tired,0
bed day,1
snuggles,1
bacon,1
Shocked,0
brexit,0
grocery shopping,1
cooking,1
Bit of an ordeal sunday,0
GR ,0
got vitamins,0
Ate ok,1
apple -cooked,0
Off work,1
dinner with kate,0
Sore feet,0
Sore lymph,0
day after pridefest,0
Narvik,0
slept in,1
Woke up feeling like I got hit by a bus,0
cried a lot,0
everything hurts,0
fun shopping,1
new environment,1
Dried the dog,0
stayed awake too long,0
blood pressure low too ~106 over 65,0
chow mein,1
day after weights,1
Remicade Maintenence,0
did not sleep alone,0
Mexican food,0
symphony,1
music,1
bad headache,0
catered food,1
paperwork,1
Yarmouth,0
PM fatigue,0
and today Kate and Josh came over,0
grumpy no reason,0
rice cereal,1
Overdid it yesterday,0
I couldn't control my emotions,0
Another great day!,0
Felt hungover,0
one drink,1
pooped,1
Went to the store,1
green beans,1
stuck to diet,1
found out my leave of absence got rejected,0
travel,1
ptsd flare,0
hot,1
bed late,1
8 hours sleep,1
gaming,1
couldn't focus on homework,0
beauty,0
short temper,0
tried to exercise - wore me out for the rest of the day,0
Braced night before,0
dinner out,0
Dr Pepper,0
napped a little bit on transport,0
Headache on waking,0
better day,0
watched Benji for an hour,0
cigarettes,1
Lowly,0
coconut flakes,1
patient advocacy,0
small fight with mother,0
Clear brain,0
backpack,0
busy at work,0
sore upper back,0
low blood sugar,0
normal sleep,1
pronounced fatigue,0
bit grumpy,0
Happy about GI stable,0
jetlag,0
storm coming,0
sore throat,0
Last day of camping!,0
social media stress,1
migraine early in day,0
2pm tight sore shoulder,0
memory issues,0
Paranoid,0
rA,0
rB,0
no excerise,0
laboratory,0
Exercised,1
went to PT,0
training sucked,0
Somewhat productive,0
Romiley probs,0
Work,1
Overnight stay at DHMC,0
grapes,1
Was a good day,0
Egg,1
up late,0
Didn't do anything,0
Very low appetite,0
coming down with cold,0
Morning exhaustion,0
No thyroid meds,0
shopped,1
migraine to er for injection,0
slept a long time yesterday,0
Cornwall day,0
binge eating,0
rocky horror,1
coursera,1
scary new shit,1
took cold medicine,0
Sneaky high pain day,0
headache - 4 hrs,0
not good sleep,1
Odd work day,0
shower,1
very anxious,0
aftereffects,0
whole30,0
sat outside,0
boston,0
evening pills 2-3 hours late,0
dozed,1
Showered,0
Started Birth Control,0
troy's birthday,0
siracha,1
Phone calls,0
large breakfast,1
too much activity ,0
Humidity,0
went to bed too late,1
which was cool,0
sat in sun a few minutes,0
day chocolate,0
walked two miles previous day,0
Sweats,0
effy,0
Upset stomach,0
Horrible anxiety,0
post diy,0
Ate more than yesterday,0
plus a little costochondritis ish pain,0
Went to a party,1
nice day,0
energy burst,0
busy,1
Mother's Day,0
Excited about weekend,0
Melting into the floor,0
emotional conversation,0
Lunch with Babcia,0
very tingly feet and hands,0
Bought boots,0
ate gluten,1
sat up more than an hour,0
feeling sad,0
Walked dog,0
large pastry,0
lazy day,0
saw cardiologist,0
slept all night,1
claire sophia declan kate and hamish came over,0
sore lower back,0
trouble falling asleep,0
Day of Rest,0
Read stories,0
cervical instability,0
Anxious about work,0
12.5 hours of sleep,0
Got up easily,0
Afternoon nap,1
snack lunch,1
memories of Dorian,0
bleh,0
Gluten,1
slept 12 hours,1
Interpersonal stress at work,0
yogurt,1
9 hours of sleep,1
worked in studio,0
Stayed in bed all day,1
sick chicken,0
yardwork,0
Hike,1
taught sunday school,0
hungover cocktails last night - the Everleigh,0
First Epidermal of low back,0
Feel numb,0
Canadian Bacon,1
Arby's,1
ate unhealthy,1
suicidal ideation,0
cat to vet,0
unrefreshing sleep,0
A little stressed,1
saw Chris,0
ate avacado with almonds and sichara',0
avocado lunch,0
Took a sick day,1
lots of walking,1
10 hours sleep,1
Infection,1
discouraged about return and progression of hyponatremia,0
feel guilty,0
Tomato,1
headache after a nap,0
sore knees,0
medium sleep,1
Paleo sugar,1
Zoladex,1
lift,1
Couldn't breath for a bit,0
worked,1
18 and a half hours apparently,0
spin,0
wildnweird,0
good morning poo,0
Hurt feet,0
largely non-productive,0
Encouraged about GI,0
Hopeful in general,0
Stellara,1
Vacation,1
migraine aura: sparkling wigglies,0
didn't drink enough water,0
Missed lunch,0
very hot,0
Bible study night,0
slow morning,0
changed fentanyl patch,0
Went to Steveo's Last Night,0
lots of bending over,0
Panic Attack,0
every muscle sore to extreme,0
very nauseous,0
big argument with claire,0
early worktime,0
nachos,1
slept lots,1
Moved chicken coop,0
sleepy,0
fantastic,0
early night,1
high water consumption,1
new heart rate monitor in step counter,0
Cat tantrum,0
Dinner out,0
I am overwhelmed by all of the medical and house stuff to do,0
only hand physio,0
enchilada,1
unproductive AM,0
Good morning,0
acorn squash,1
Slow AM,0
weekend shopping,1
House cleaning,1
lab work,1
stressed out about The Conversation with Claire tomorrow,0
and we played lotr trivia,0
Absent minded,0
exhausted from wedding/entertaining,0
2 naps,1
Poorly ,0
very early wake up,0
public transport fail,0
Albuterol Nebulizer,0
helped put up the christmas tree,0
sinus infection treatment,0
creative,0
fog,0
Sleep problems,0
treadmill,1
not in a rush,0
and shaved my legs,0
shakey,0
presentation at school,0
Thunder storm,0
caved on dairy again,0
ate salsa,1
