Ritalin,BeachBody OnDemand,Cyclizine,Sunlight,Monteluklast,birth control,Magnesium glycinate,5-htp,Solifenacin,Nasonex,Fexofenadine,Darifenacin,Prednisolone,Strattera,Ribose,Allergy Shots,7-keto-dhea,Feverfew,alverine,Famotidine,Vitamin b complex,SAM-E,Probiotic,therapy session,Cerelle,Claritin,Astelin,Vitamin C,Anakinra,THC,Paracetamol,Allegra,Klonopin,Singulair,Guarana & Ginseng,Fish oil,Ginger,CoQ10,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Melatonin,Passionflower,row
,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monteluklast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,birth control
,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Magnesium glycinate
,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,5-htp
1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,Solifenacin
,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Nasonex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisolone
,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allergy Shots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-keto-dhea
1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alverine
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Famotidine
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAM-E
1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerelle
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Claritin
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Astelin
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anakinra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Allegra
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,Klonopin
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guarana & Ginseng
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-op ice device
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,Zinc
,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,Vitamin d
