Cycling,Amitriptyline,Yoga,Rowing machine,Creatine,Ecural,Physio,excedrin migraine,Quell,laxatives,Colpermin,Buffered Salmon Oil - DHA - EPA,Headspace,Recov Bipeptides,breathing exercises,Physiotherapy,heating pads,linseed,pain relief,Boswelia Complex,Noritriptyline,Pain management,Nortriptyline,Tramadol,Athlete Vitamin,Standing desk,row
,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Cycling
0.0,,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Amitriptyline
0.0,0.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Yoga
0.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Rowing machine
,,,,,0.0,,,,,,,,,,2.0,,2.0,,,,,,,,0.0,Creatine
,,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,,,,0.0,Ecural
0.0,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Physio
2.0,2.0,2.0,2.0,,,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,excedrin migraine
0.0,0.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Quell
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,laxatives
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Colpermin
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,Buffered Salmon Oil - DHA - EPA
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,Headspace
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,Recov Bipeptides
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,breathing exercises
,,,,2.0,2.0,,,,,,,,,,,,0.0,,,,,,,,2.0,Physiotherapy
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,heating pads
0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.96182873986,linseed
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,pain relief
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,Boswelia Complex
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,0.0,Noritriptyline
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,Pain management
0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,Nortriptyline
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,0.0,2.0,Tramadol
2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,2.0,Athlete Vitamin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.96182873986,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,Standing desk
