Coconut Oil Pulling,did some homework,Triamcinolone,small breakfast,Sunlight,Acetyl Carnitine,Magnesium glycinate,Magnesium gel,N-Acelcysteine,5-htp,Nasonex,Claritin,Lithium,9 hours sleep,Strattera,Creatine,Clonazepam,Ecural,Synthroid,Soluble Aspirin,Gelatin,8 hours sleep,Borage oil,Famotidine,Vitamin b complex,cuddled kitten,Ranitidine,Probiotic,Physical activity,Astelin,Vitamin C,Dr J study,Physiotherapy,linseed,antihistamines,Panamax,THC,Standing desk,amphetamine salts,Allegra,Klonopin,Singulair,Fish oil,Vitamin b12,bed late,mass transit,Post-op ice device,Zinc,Vitamin d,Melatonin,Mezavant,Nortriptyline,Prednisone,row
,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coconut Oil Pulling
,,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,did some homework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triamcinolone
,0.0,,,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,small breakfast
,2.0,,2.0,,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Sunlight
,,,,,,,,2.0,,,,2.0,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,Acetyl Carnitine
,2.0,,2.0,0.0,,,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Magnesium glycinate
,,,,,,,,,,,,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,Magnesium gel
,,,,,2.0,,,,,,,0.0,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,N-Acelcysteine
,2.0,,2.0,0.0,,0.0,,,,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,5-htp
,2.0,,2.0,0.0,,0.0,,,0.0,,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Nasonex
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Claritin
,,,,,2.0,,0.0,0.0,,,,,,,1.97906254932,0.0302716604824,2.0,0.0,0.0,,,,,,,0.0,0.0,,,,,2.0,0.0,2.0,0.0,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.171313579047,0.188465658548,Lithium
,0.0,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,9 hours sleep
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Strattera
,,,,,0.0,,2.0,2.0,,,,1.97906254932,,,,1.89971822709,0.0,2.0,2.0,,,,,,,2.0,2.0,,,,,0.0,2.0,0.0,2.0,,0.0,,,,,2.0,,,,,,2.0,,2.0,1.92527084472,1.67560202519,Creatine
,,,,,2.0,,0.0,0.0,,,,0.0302716604824,,,1.89971822709,,2.0,0.0,0.0,,,,,,,0.0,0.0,,,,,2.0,0.0,2.0,0.0,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.333073575576,0.0703529434059,Clonazepam
,,,,,,,2.0,,,,,2.0,,,0.0,2.0,,2.0,,,,,,,,2.0,2.0,,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,,2.0,,2.0,2.0,2.0,Ecural
,,,,,,,0.0,,,,,0.0,,,2.0,0.0,2.0,,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,Synthroid
,,,,,2.0,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,Soluble Aspirin
2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Gelatin
,0.0,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,8 hours sleep
2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Borage oil
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Famotidine
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Vitamin b complex
