Wear shoulder brace,AM meds,Toprol,hiking,More stretching,Cyclizine,Protecting back,Cold Pack,Florinef,Lying flat,Miralax low dose at night,Ritalin,Ambien CR,ate breakfast,Solifenacin,Prednisolone,Zofran,BeachBody OnDemand,Hydroxyzine,digestive enzyme,gluten free,Ingefära,Fludrocortisone,Feverfew,dairy free,Piyo,exercise,rest day,Oxynorm,gluten,Probiotic,Superlong nap,TigerBalm,heating pads,Norco,PeaPure,Freezie wrap,Methylprednisolone,Ginger,Hydrocortisone,Vitamin b12,Sleep,cocodamol,Passionflower,drawing,row
,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Wear shoulder brace
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,hiking
0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,More stretching
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Protecting back
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,,,,,,,,,2.0,,,,0.0,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,0.000193173808563,,,,,,Florinef
0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Lying flat
0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
0.0,,,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,2.0,,,,,,,,,,,2.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,2.0,,,,,,Prednisolone
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Zofran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Hydroxyzine
,,,,,,,,0.0,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,0.0,,,,,,digestive enzyme
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,gluten free
,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,2.0,,,,,,Ingefära
,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,2.0,,,,,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,dairy free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rest day
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,Oxynorm
,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,0.0,heating pads
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,Norco
,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,PeaPure
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,0.0,Freezie wrap
,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,,,,,,Methylprednisolone
,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,2.0,,,,,,Ginger
,,,,,,,,0.000193173808563,,,,,,,2.0,,,,0.0,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,Hydrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,0.0,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,,drawing
