Maxalt,Yoga,Prednisone,Cefaly Unit,Seasonique,Lidocaine Patch,Cane to get down stairs,Vicodin,Ibuprofen,massage,row
,2.0,2.22044604925e-16,0.0,0.0,0.0,0.0,1.11022302463e-16,2.0,3.33066907388e-16,Maxalt
2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.11022302463e-16,2.0,Yoga
2.22044604925e-16,2.0,,0.0,0.0,0.0,0.0,1.11022302463e-16,2.0,1.11022302463e-16,Prednisone
0.0,2.0,0.0,,,0.0,,0.0,2.0,0.0,Cefaly Unit
0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,Seasonique
0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,Lidocaine Patch
0.0,2.0,0.0,,0.0,,,0.0,2.0,0.0,Cane to get down stairs
1.11022302463e-16,2.0,1.11022302463e-16,0.0,0.0,0.0,0.0,,2.0,3.33066907388e-16,Vicodin
2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,Ibuprofen
3.33066907388e-16,2.0,1.11022302463e-16,0.0,0.0,0.0,0.0,3.33066907388e-16,2.0,,massage
