Maxalt,Yoga,Prednisone,Sertraline,massage,Seasonique,Cane to get down stairs,Magnesium,Iron,Ibuprofen,Wellbutrin,Vicodin,row
,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,Maxalt
2.0,,2.0,,0.0,0.0,0.0,,,2.0,,2.0,Yoga
0.0,2.0,,,2.0,2.0,2.0,,,0.0,,0.0,Prednisone
,,,,,,,2.0,2.0,,0.0,,Sertraline
2.0,0.0,2.0,,,0.0,0.0,,,2.0,,2.0,massage
2.0,0.0,2.0,,0.0,,0.0,,,2.0,,2.0,Seasonique
2.0,0.0,2.0,,0.0,0.0,,,,2.0,,2.0,Cane to get down stairs
,,,2.0,,,,,0.0,,2.0,,Magnesium
,,,2.0,,,,0.0,,,2.0,,Iron
0.0,2.0,0.0,,2.0,2.0,2.0,,,,,0.0,Ibuprofen
,,,0.0,,,,2.0,2.0,,,,Wellbutrin
0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,,Vicodin
