Metoprolol,Viibryd,Vitamins,Phyical Therapy - stretches,Fluids,Osteopathy,Ambien CR,gluten free,meds,Plaquenil,distraction,Vitamin b complex,Aloe Detox Water,Caffeine,THC,Turmeric,Allegra,Fish oil,Rest,Post-op ice device,Hobbies,Corticosteroids,Tretinoin,gluten free diet,Language Learning,Aleve,ASMR,Claritin,Strattera,Relaxing,Medical Marijuana,Zofran,Clinda-derm,Hydroxyzine,excedrin migraine,SPD alternative treatments,Pet Therapy,Aga,Astelin,breathing exercises,Vitamin B,SAD Light Box,Melatonin,Vitamin C,Klonopin,Medication,CBD,Zomig,Vitamin b12,Vitamin d,Ice pack,massage,physical therapy,Levothyroxine,Extra Medications,Metformin,Exercise,Armodafinil,Therapy,Weather- rain,Social interactions,Tacrolimus,Sunlight,Tranexamic acid,Mirtazapine,Sertraline,stool softener,Cabergoline,magnesium ionic,Zinc,Meditation,TENS Unit,Dicyclomine,Alcohol,Provigil,Pantoprazole,Magnesium glycinate,5-htp,Ventolin,Fexofenadine,Flo-pred,Topamax,Fluoxetine,eye ointment,Daily walk,Exercise--walking,Achy breaky rub,Famotidine,Enada,strapping of shoulder,Nasonex,Coffee,Progesterone,Essential oils,heating pads,Norco,Adderall,Singulair,Montelukast,Sleep,row
,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Metoprolol
0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Viibryd
,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Fluids
,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,Osteopathy
,,,,,,,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Ambien CR
0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,gluten free
,,,,,,0.0,,,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Plaquenil
,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,distraction
,,,,,,2.0,,2.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Vitamin b complex
,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Aloe Detox Water
0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,2.0,,2.0,,,0.0,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,THC
,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Turmeric
,,,,,,2.0,,2.0,,,0.0,,,0.0,,,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,0.0,,,0.0,,2.0,,,,0.0,,2.0,0.0,0.0,,,2.0,2.0,,0.0,,,Allegra
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Fish oil
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Rest
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Post-op ice device
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Hobbies
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,Corticosteroids
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,Tretinoin
0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,gluten free diet
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Language Learning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleve
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,ASMR
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Claritin
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Medical Marijuana
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Zofran
