Ex bike,Women's probiotic,Hemorrhoid Cream,Ecural,Multivitamin,floravit iron,Naproxen,Toprol,Amitriptyline,tumeric extract,Soluble Aspirin,pur-absorb iron,Panamax,Prednisone,Turmeric tea,Zantac,Lithium,Flonase,Buspirone,Feverfew,DLPA,methotraxate,Vitamin b complex,Dexedrine,Kirkland Fish Oil,Probiotic,therapy session,Womans balance,Physiotherapy,Steps,Magnesium,Boswelia Complex,Mangosteen,Swimming,Allegra,Goth clubbing,Guarana & Ginseng,Fish oil,Rest,Triamcinolone Cream,Nutrasea Fish Oil,Valdoxan,Ritalin,gluten free diet,Aleve,Folate,Solifenacin,Claritin,pilates,Strattera,Zofran,Synthroid,excedrin migraine,N-Acelcysteine,Carbomer eye drops,shoulder stretching,Humira,Standing desk,Greens First Powder,Antihistamine,Astelin,Vitamin C,Vitamin B,Vitamin B complex - 50,Probiotics,linseed,Meditation,Klonopin,Pain management,Voltaren,Nortriptyline,hydrocortisone suppository ,Ginger,Vitamin b12,EnzymixPro,Vitamin d,Prednesone,Tolterodine,Codeine-Panadol,Diazepam,Vitamin a,Bu Zhong Yi Qi capsules,Vyvanse,Eyebright Complex,Acetyl Carnitine,Acupuncture,Magnesium gel,Exercise,alcohol free,Creatine,Clonazepam,Pro Omega 2000 Fish Oil,Ribose,alverine,Plaquenil,CoQ10,Valium,SAM-E,Zoladex,Boswelia,Citrucel,Flutiform,Mirtazapine,Tummy Tamers,Singulair,Allergy Shots,Zinc,Ibuprofen,Melatonin,hip abduction,Migraine Diet,Cyclizine,Provigil,Ventolin,birth control,Magnesium glycinate,5-htp,Nasonex,Darifenacin,Chiropractic adjustment,use exercise bike,Ocella,B12 drops,Monteluklast,Daily walk,Athlete Vitamin,Famotidine,antihistamines,Neti Pot,Cerelle,Codeine,thyroid support complex,Progesterone,Spironolactone,Bovine colostrum,Iron,Tian Ma Tou Tong - headache,Adderall,Ondansetron,Cetraben cream,Pataday,Iodine,B Complex,Ferrous sulfate,cough syrup,Wei Te Ling - heartburn,Sleep,Klaire Ther-biotic,Gui Pi Pills,Passionflower,row
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,Ex bike
,,,0.0,0.0,0.0,,,,,2.0,0.0,0.0,,2.0,,0.0,,0.0,,2.0,,,,0.0,,,,0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,2.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,Women's probiotic
,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,Hemorrhoid Cream
,0.0,,,0.0,0.0,,,,,2.0,0.0,0.0,,2.0,,0.0,,0.0,,2.0,,,,0.0,,,,0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,2.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,Ecural
,0.0,,0.0,,0.0,,,,,2.0,0.0,0.0,,2.0,,0.0,,0.0,,2.0,,,,0.0,,,,0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,2.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,Multivitamin
,0.0,,0.0,0.0,,,,,,2.0,0.0,0.0,,2.0,,0.0,,0.0,,2.0,,,,0.0,,,,0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,2.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,floravit iron
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,2.0,,2.0,2.0,2.0,,,,,,2.0,0.234052572092,,0.0,,1.27831072287,,0.993970228985,,0.0,,,,2.0,,,,2.0,,0.00606143170293,0.0,,,,,,,,,0.0,0.0213472622962,,,,,,,,,0.904911717218,,,,,,,2.0,,0.0,,2.0,0.0975731513932,2.0,0.0,2.0,,,2.0,0.0104174540401,,,,,,2.0,,,0.0,,0.0975731513932,2.0,0.0895338442915,2.0,0.0,,2.0,,,0.582191070865,1.19206836951,,,,,,0.0461795372172,,0.319963754902,0.0,,0.0,2.0,,,,,0.0505390639444,,,2.0,,,0.0975731513932,,,,0.0975731513932,,,,,,,,0.0,,0.0,,,0.0620646201075,,2.0,0.831831451381,,0.0975731513932,0.0,,2.0,,2.0,,,2.0,,2.0,,,2.0,,Soluble Aspirin
,0.0,,0.0,0.0,0.0,,,,,2.0,,0.0,,2.0,,0.0,,0.0,,2.0,,,,0.0,,,,0.0,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,2.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,2.0,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,2.0,,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,pur-absorb iron
,0.0,,0.0,0.0,0.0,,,,,0.234052572092,0.0,,,2.0,,0.595668574685,,0.352489989692,,2.0,,,,0.0,,,,0.0,,0.168016522811,0.0,,,,,,,,,2.0,0.118273439764,,,,,,,,,0.28717725921,,,,,,,0.0,,0.0,,0.0,0.0317980598052,0.0,0.0,0.0,,,0.0,0.149475198631,,,,,,0.0,,,0.0,,0.0317980598052,0.0,0.036736577278,0.0,0.0,,0.0,,,0.0958803094801,0.516180926405,,,,,,0.0763101368139,,0.950490795188,0.0,,0.0,0.0,,,,,0.0709650229983,,,0.0,,,0.0317980598052,,,,0.0317980598052,,,,,,,,0.0,,0.0,,,0.504556114162,,0.0,0.237444585475,,0.0317980598052,2.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,Panamax
,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,Prednisone
