Diazepam,Medications,Yoga,Cod liver oil,physical therapy,IVIG,Psyllium husk,Exercise,Vitamin D3,Zantac,Dermatologist,Chiropractic,Ligament Restore,Magnesium,Iron,Dandelion tea,Wellbutrin,psychiatrists,Walking,Medication,neuro,Sertraline,Coenzyme q-10,Vitamin d,counselor,row
,,,,,,,,,,,,,,,2.0,,,,,,,,,,Diazepam
,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Medications
,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Yoga
,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,Cod liver oil
,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,physical therapy
,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,IVIG
,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,Psyllium husk
,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Exercise
,,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,Vitamin D3
,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,Zantac
,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Dermatologist
,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Chiropractic
,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,Ligament Restore
,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,Magnesium
,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,Iron
2.0,,,,,,,,,,,,,,,,,,,,,,,,,Dandelion tea
,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,Wellbutrin
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,psychiatrists
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,Walking
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,Medication
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,neuro
,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,Sertraline
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,Coenzyme q-10
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,Vitamin d
,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,counselor
