Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,Florinef,slept not alone,had sex last night,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,Medical Marijuana,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,went to bed too late,busy,scary new shit,Social,worked,day at home,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
,,,,,-1.0,,,,,,1.0,-1.0,,1.0,,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,1.0,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggles
-1.0,,,,,,,,,,,-1.0,1.0,,-1.0,,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,,,,-1.0,1.0,,,,,,,,,,,-1.0,,,-1.0,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dehydrated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept not alone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singing
1.0,,,,,-1.0,,,,,,,-1.0,,1.0,,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,1.0,,ate breakfast
-1.0,,,,,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,,,,-1.0,1.0,,,,,,,,,,,-1.0,,,-1.0,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darifenacin
1.0,,,,,-1.0,,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,1.0,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monteluklast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept lots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socialising
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ate too late
