Benadryl,Cetirizine,Ranitidine,Calcium citrate,Vitamin C,Albuterol Inhaler,Florinef,Vitamin d,Tolterodine,Turmeric,row
,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,Benadryl
2.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,Cetirizine
2.0,0.0,,2.0,0.0,2.0,,2.0,,2.0,Ranitidine
0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,Calcium citrate
2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,Vitamin C
0.0,2.0,2.0,0.0,2.0,,,0.0,,0.0,Albuterol Inhaler
,,,,,,,,,,Florinef
0.0,2.0,2.0,0.0,2.0,0.0,,,,0.0,Vitamin d
,,,,,,,,,,Tolterodine
0.0,2.0,2.0,0.0,2.0,0.0,,0.0,,,Turmeric
