Panamax,Prednisone,Creatine,Clonazepam,Nortriptyline,Ecural,antihistamines,Physiotherapy,linseed,Standing desk,Acetyl Carnitine,Lithium,Soluble Aspirin,N-Acelcysteine,row
,0.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,0.0,2.0,Panamax
0.0,,2.0,2.0,2.0,,2.0,,,,2.0,2.0,0.0,2.0,Prednisone
2.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Creatine
2.0,2.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,0.0,Clonazepam
2.0,2.0,0.0,0.0,,,0.0,,,,0.0,0.0,2.0,0.0,Nortriptyline
,,0.0,,,,,2.0,2.0,0.0,,,,,Ecural
2.0,2.0,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,antihistamines
,,2.0,,,2.0,,,0.0,2.0,,,,,Physiotherapy
,,2.0,,,2.0,,0.0,,2.0,,,,,linseed
,,0.0,,,0.0,,2.0,2.0,,,,,,Standing desk
2.0,2.0,0.0,0.0,0.0,,0.0,,,,,0.0,2.0,0.0,Acetyl Carnitine
2.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,2.0,0.0,Lithium
0.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,,2.0,Soluble Aspirin
2.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,2.0,,N-Acelcysteine
