Triamcinolone Lotion,Humira,Bentyl,Prednisone,Hemorrhoid Cream,Resrticted diet,Flonase,Calcium citrate,Vitamin C,Naproxen,Iron,Vitamin d,Inflamma-blox,Sauna,THC,Triamcinolone Cream,row
,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,Triamcinolone Lotion
0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,Humira
,,,,,,,0.0,,,,0.0,,,,,Bentyl
0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,Prednisone
0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,Hemorrhoid Cream
,,,,,,,,,,,,,,0.0,,Resrticted diet
0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,Flonase
,,0.0,,,,,,,,,0.0,,,,,Calcium citrate
0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,Vitamin C
,,,,,,,,,,,,,,,,Naproxen
0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,Iron
,,0.0,,,,,0.0,,,,,,,,,Vitamin d
0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,Inflamma-blox
0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,Sauna
,,,,,0.0,,,,,,,,,,,THC
0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,Triamcinolone Cream
