Vitamins,slept 12 hours,Fluids,Naproxen,fuck yeah avocado,ate breakfast,busy,smoothie,holiday,cuddled kitten,Aloe Detox Water,sitting,SPD alternative treatments,ate badly,playing music,Swimming,11 hours of sleep,AOR Zinc-Copper Balance,Dancing,2 naps,Language Learning,fresh food,sex,ASMR,Coffee,Medical Marijuana,espresso,Candesartan,treadmill,Turmeric,creative writing,exercise,Buffered Salmon Oil - DHA - EPA,Pet Therapy,Medical marijuana,no exercise,Superlong nap,Quiet,breathing exercises,Anakinra,ate garlic,Tavegyl,exercised,Sisu B Calm,Heathen ritual,Medication,1 slice of cheese,Diclofenac,sun exposure,massage,hiking,Pedicure,physical therapy,had sex,church,Extra Medications,trying to clean the house,lots of walking,Biosil,ate pizza,Therapy,Weather- rain,banana,shopping,lower dose of msm,Trigger Points,gym,Deep rest,Thyroid-Pro (CanPrev),Gardening,Phentermine,Meditation,ate a slice of cheese,TENS Unit,coffee,prayer,Fexofenadine,B12 timed release,advil,travel,Daily walk,spicy meal,nap,Exercise--walking,ate dairy,slept long,Daytime nap,Essential oils,1 slice of cheese ,archery,walked,no sleep,Paracetamol,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 12 hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoothie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holiday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuddled kitten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloe Detox Water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sitting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPD alternative treatments
