Diazepam,L-methylfolate,Sunlight,birth control,Aspirin,sugar free diet,Candesartan,Exercise--walking,elliptical,Glucosamine,Multivitamin,Keppra,Cleaning ,Gabapentin,Mersyndol Forte,Cambia,Phentermine,Lexapro,Ibuprofen,Meditation,massage,Pristiq,row
,0.0,0.0,0.0,0.0,,,2.0,2.0,1.11022302463e-16,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,1.11022302463e-16,0.0,1.11022302463e-16,Diazepam
0.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,0.0,0.0,0.0,L-methylfolate
0.0,0.0,,,0.0,,,2.0,,0.0,,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,Sunlight
0.0,0.0,,,0.0,,,2.0,2.0,0.0,0.0,0.0,,2.0,,2.0,,2.0,0.0,0.0,0.0,0.0,birth control
0.0,0.0,0.0,0.0,,,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,0.0,0.0,0.0,Aspirin
,,,,,,,,,,,,,,,,,,,,,,sugar free diet
,,,,,,,,,,,,,,,,,,,,,,Candesartan
2.0,2.0,2.0,2.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,1.11022302463e-16,0.0,2.22044604925e-16,,1.11022302463e-16,1.99916173689,2.0,2.0,2.0,Exercise--walking
2.0,2.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,0.0,2.0,2.0,2.0,2.0,elliptical
1.11022302463e-16,0.0,0.0,0.0,0.0,,,2.0,2.0,,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,1.11022302463e-16,0.0,1.11022302463e-16,Glucosamine
0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,,0.0,,2.0,,2.0,,2.0,0.0,0.0,0.0,0.0,Multivitamin
0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,0.0,0.0,0.0,Keppra
0.0,0.0,0.0,,0.0,,,2.0,,0.0,,0.0,,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,Cleaning 
2.0,2.0,2.0,2.0,2.0,,,1.11022302463e-16,0.0,2.0,2.0,2.0,2.0,,0.0,1.11022302463e-16,,2.22044604925e-16,1.99916173689,2.0,2.0,2.0,Gabapentin
2.0,2.0,2.0,,2.0,,,0.0,,2.0,,2.0,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,2.0,Mersyndol Forte
2.0,2.0,2.0,2.0,2.0,,,2.22044604925e-16,0.0,2.0,2.0,2.0,2.0,1.11022302463e-16,0.0,,,1.11022302463e-16,1.99916173689,2.0,2.0,2.0,Cambia
,,,,,,,,,,,,,,,,,,,,,,Phentermine
2.0,2.0,2.0,2.0,2.0,,,1.11022302463e-16,0.0,2.0,2.0,2.0,2.0,2.22044604925e-16,0.0,1.11022302463e-16,,,1.99916173689,2.0,2.0,2.0,Lexapro
0.000838263114654,0.000838263114654,0.0,0.0,0.000838263114654,,,1.99916173689,2.0,0.000838263114654,0.0,0.000838263114654,0.0,1.99916173689,2.0,1.99916173689,,1.99916173689,,0.000838263114654,0.000838263114654,0.000838263114654,Ibuprofen
1.11022302463e-16,0.0,0.0,0.0,0.0,,,2.0,2.0,1.11022302463e-16,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,,0.0,1.11022302463e-16,Meditation
0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,0.0,,0.0,massage
1.11022302463e-16,0.0,0.0,0.0,0.0,,,2.0,2.0,1.11022302463e-16,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.000838263114654,1.11022302463e-16,0.0,,Pristiq
