Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Butterbur,Vicodin,Metformin,Fexofenadine,Relaxing,excedrin migraine,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Benadryl,Enada,Progesterone,Vitamin B,Allopurinol,Medication,Tranexamic acid,Flexeril,Zomig,Montelukast,Vitamin d,Corticosteroids,Pantoprazole,row
,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Dicyclomine
0.0,,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Tretinoin
0.0,0.0,,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Phyical Therapy - stretches
2.0,2.0,2.0,,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,2.0,2.0,0.0,,Osteopathy
0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Butterbur
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Vicodin
0.0,0.0,0.0,2.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Metformin
0.0,0.0,0.0,2.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Clinda-derm
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Ubiquinol
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Benadryl
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Enada
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,2.0,,Progesterone
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,2.0,,Vitamin B
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Allopurinol
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,2.0,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,2.0,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,Montelukast
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,2.0,,Vitamin d
2.0,2.0,2.0,0.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,2.0,2.0,,,Corticosteroids
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
