Ritalin,BeachBody OnDemand,Cyclizine,Cold Pack,Florinef,Solifenacin,Prednisolone,gluten free diet,Vitamin b12,Ingefära,Fludrocortisone,Feverfew,creative writing,Piyo,Multi vitamin,Probiotic,Stretching,TigerBalm,Deep rest,Passionflower,Sertraline,Methylprednisolone,Ginger,Hydrocortisone,digestive enzyme,PeaPure,Cardio,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,Prednisolone
,,,,,,,,,,,,2.0,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,Ingefära
,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
,,,,,,,2.0,,,,,,,2.0,,2.0,,2.0,,2.0,,,,,,2.0,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,0.0,,,,,2.0,,,,0.0,,0.0,,0.0,,,,,,0.0,Multi vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,0.0,,,,,2.0,,0.0,,,,0.0,,0.0,,,,,,0.0,Stretching
,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,0.0,,,,,2.0,,0.0,,0.0,,,,0.0,,,,,,0.0,Deep rest
,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
,,,,,,,0.0,,,,,2.0,,0.0,,0.0,,0.0,,,,,,,,0.0,Sertraline
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,Methylprednisolone
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,,Ginger
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,Hydrocortisone
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,digestive enzyme
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,PeaPure
,,,,,,,0.0,,,,,2.0,,0.0,,0.0,,0.0,,0.0,,,,,,,Cardio
