adulting,medicated,workflow ,flood triggers,StressedToTheMax!,exhausted,good sleep,couch potato,Long,very foggy,depressed,Emotionally Drained,Bride2Be,Combo happy-frustrated-worried,SoTired,sober,afternoon bonfire,too many things this week,fine,ptsd flare,new medication,eyes hurt,low energy,MedicalProblems,SoldierLife,Pain,finished rough draft of booked,Body Achess,low-key day,Physically Spent,baby chicks died,stuck in bed,snow,early day,late,INR,fast paced,car accident,interview with sabrina,frustrated,painful,motivated,cranky,very hard to do anything today,a lot of muscle pain from washing my feet yesterday,stressed,JobLife,anna's suicide,gum pain,StupidAccident,sore,mom's surgery,obsessing,new medication working,droopyeyed,presentation at school,house stress,chicks arrived,pet died,ImABridesmaid,anxiety,lost,Physical therapy,bad day,did the treatment thing too,Sleepy,priorities,IHurtBad,work,LoveNaps,MOH,lots to do,skip day,LosingMyJob,stayed in bed,NightNightBlues,very sleepy,row
,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,adulting
0.0,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,medicated
0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,workflow 
,,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,flood triggers
0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,StressedToTheMax!
0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,exhausted
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good sleep
,,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,couch potato
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long
,,,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,very foggy
