Triamcinolone,Benadryl,Vitamin D3,Cetirizine,Ranitidine,Cod liver oil,Excedrin,IVIG,Ligament Restore,Calcium citrate,Vitamin C,Tylenol,Albuterol Inhaler,Psyllium husk,Zantac,Gravol,Vitamin d,Turmeric,row
,,,,,,,,,,,,,,,,,,Triamcinolone
,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,0.0,Benadryl
,,,,,0.0,2.0,0.0,0.0,,,,,0.0,0.0,,,,Vitamin D3
,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,0.0,Cetirizine
,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,Ranitidine
,,0.0,,,,2.0,0.0,0.0,,,,,0.0,0.0,,,,Cod liver oil
,,2.0,,,2.0,,2.0,2.0,,,,,2.0,2.0,,,,Excedrin
,,0.0,,,0.0,2.0,,0.0,,,,,0.0,0.0,,,,IVIG
,,0.0,,,0.0,2.0,0.0,,,,,,0.0,0.0,,,,Ligament Restore
,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,Calcium citrate
,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,Vitamin C
,,,,,,,,,,,,,,,2.0,,,Tylenol
,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,Albuterol Inhaler
,,0.0,,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,Psyllium husk
,,0.0,,,0.0,2.0,0.0,0.0,,,,,0.0,,,,,Zantac
,,,,,,,,,,,2.0,,,,,,,Gravol
,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,Vitamin d
,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,Turmeric
