Trigger Points,Therapy,physical therapy,Dancing,B12 timed release,playing music,Buffered Salmon Oil - DHA - EPA,prayer,Biosil,Deep rest,Exercise--walking,Naproxen,Tavegyl,AOR Zinc-Copper Balance,Sisu B Calm,creative writing,Thyroid-Pro (CanPrev),Swimming,row
,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,,,,,,,,,,,,,,Therapy
,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,Dancing
,,,,,,,,,,,,,,,,,,B12 timed release
,,,,,,,,,,,,,,,,,,playing music
,,,,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,prayer
,,,,,,,,,,,,,,,,,,Biosil
,,,,,,,,,,,,,,,,,,Deep rest
,,,,,,,,,,,,,,,,,,Exercise--walking
,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,Tavegyl
,,,,,,,,,,,,,,,,,,AOR Zinc-Copper Balance
,,,,,,,,,,,,,,,,,,Sisu B Calm
,,,,,,,,,,,,,,,,,,creative writing
,,,,,,,,,,,,,,,,,,Thyroid-Pro (CanPrev)
,,,,,,,,,,,,,,,,,,Swimming
