Diazepam,Vitamins,Neti Pot,Ex bike,Iron,hydrocortisone suppository ,Fentanyl,Fluids,Ocella,massage,Triamcinolone Lotion,Naproxen,Toprol,birth control,Inflamma-blox,Extra Medications,Sauna,Aspirin,Coffee,pilates,sugar free diet,Medical Marijuana,use exercise bike,Keppra,Dancing,Flonase,Cambia,Daily walk,physical therapy,Exercise--walking,Dexedrine,elliptical,Weather- rain,Therapy,Turmeric,Gabapentin,Topical ibuprofen,Humira,L-methylfolate,Wore arch supports all day,Cefaly Unit,Stretching,Vitamin C,Essential oils,Steps,Glucosamine,Multivitamin,5 or more portions of fruit and veg,Mebeverine,cocodamol,Swimming,Aloe Detox Water,Trigger Points,Triamcinolone Cream,Fish oil,Cymbalta,cough syrup,Rest,Cranberry extract,Sleep,Oxycodone,Ibuprofen,Hemorrhoid Cream,Sisu B Calm,Meditation,Prednisone,Lexapro,Pristiq,row
,,,2.0,,,,,,,,0.033123412077,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,Diazepam
,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Vitamins
,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,Neti Pot
2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,2.0,,2.0,,,,,2.0,,,,Ex bike
,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,0.0753571588149,,,,,,,,,,,,7.05479371298e-05,,,,,0.0095468657493,,,,,,,,,,,0.0427014595218,0.0,,,,,,,,2.97494247498e-05,,,0.136095818333,,,Iron
,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,hydrocortisone suppository 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fentanyl
,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Fluids
,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,Ocella
,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,massage
,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,Triamcinolone Lotion
0.033123412077,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,2.0,0.0,0.0,0.0,,,,,0.00628559248954,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,birth control
,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,Inflamma-blox
,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Extra Medications
,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,Sauna
,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,Aspirin
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Coffee
0.0,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,pilates
,,,,,,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,sugar free diet
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use exercise bike
,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,,,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,Keppra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,Dancing
,,0.0,,0.0753571588149,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0708987630185,,,,,0.0316864838763,,,,,,,,,,,0.00474078071315,0.0,,,,,,,,0.0724470953118,,,0.0093870641685,,,Flonase
,,,,,,,,,,,,,2.0,,,,2.0,,,0.0,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,Cambia
2.0,0.0,,0.0,,,,0.0,,0.0,,2.0,,,,0.0,,,0.0,2.0,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,2.0,,,,,,,0.0,,,,,0.0,2.0,,2.0,,,,,0.847304964905,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Weather- rain
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,Therapy
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Turmeric
,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,Gabapentin
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,Topical ibuprofen
,,0.0,,7.05479371298e-05,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,0.0708987630185,,,,,,,,,,,,,,,,,0.00797933603669,,,,,,,,,,,0.0393350020547,0.0,,,,,,,,8.6730977239e-06,,,0.130174251597,,,Humira
,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,L-methylfolate
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,Wore arch supports all day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,Stretching
,,0.0,,0.0095468657493,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,0.0316864838763,,,,,,,,,,,,0.00797933603669,,,,,,,,,,,,,,,,0.0119880948996,0.0,,,,,,,,0.00851302717908,,,0.07491445027,,,Vitamin C
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,Essential oils
0.0,,,2.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glucosamine
,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Multivitamin
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,5 or more portions of fruit and veg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,Mebeverine
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swimming
,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Aloe Detox Water
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Trigger Points
,,0.0,,0.0427014595218,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,0.00474078071315,,,,,,,,,,,,0.0393350020547,,,,,0.0119880948996,,,,,,,,,,,,0.0,,,,,,,,0.0404999586963,,,0.0273781763171,,,Triamcinolone Cream
,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,Cymbalta
2.0,,,0.0,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,cough syrup
0.0,,,2.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,0.0,,,,Rest
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,Cranberry extract
0.0,,,2.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,,,Sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxycodone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,0.0,,2.97494247498e-05,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,0.0724470953118,,,,,,,,,,,,8.6730977239e-06,,,,,0.00851302717908,,,,,,,,,,,0.0404999586963,0.0,,,,,,,,,,,0.132236570754,,,Hemorrhoid Cream
