Triamcinolone Lotion,Humira,Prednisone,Hemorrhoid Cream,Flonase,Sauna,Vitamin C,Iron,Inflamma-blox,Placebo,Triamcinolone Cream,row
,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,Triamcinolone Lotion
2.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,Humira
2.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,Prednisone
2.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,Hemorrhoid Cream
0.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,,2.0,Flonase
2.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,,0.0,Sauna
0.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,,2.0,Vitamin C
2.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,Iron
2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,Inflamma-blox
,,,,,,,,,,,Placebo
2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,Triamcinolone Cream
