Wear shoulder brace,coconut,napped well,Lying flat,hiking,More stretching,bed day,met a new cat,haircut,3 drinks,short nap,honey,Protecting back,Poor sleep (hotel),Ambien CR,Miralax low dose at night,drank alcohol,ate breakfast,snuggly cat,sugar yesterday,busy,excerise,Zofran,Hydroxyzine,vacation,gluten free,nap,dairy,L-theanine,dairy free,party,rice,exercise,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,Superlong nap,mass transit,butternut squash risotto,listen to music ,heating pads,beans,Norco,heavy physcial exertion,Late lunch,Freezie wrap,no breakfast,studied,walked,Better sleep,very little sleep,new environment,bed late,Sleep,l-theanine,cocodamol,Onions,drawing,drank a lot,row
,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Wear shoulder brace
2.0,,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,coconut
2.0,0.0,,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,napped well
0.0,2.0,2.0,,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Lying flat
,,,,,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,hiking
0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,More stretching
2.0,0.0,0.0,2.0,,2.0,,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,bed day
,,,,0.0,,,,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,met a new cat
2.0,0.0,0.0,2.0,,2.0,0.0,,,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,haircut
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,3 drinks
