danced,allergy shot,Albuterol Inhaler,Puppy,ate breakfast,yoga,went swimming,housework,social gathering,Benadryl,Ranitidine,ate gluten,Calcium citrate,Vitamin C,no breakfast,pasta,worked,Turmeric,Cetirizine,walked,thai food,exercise,Vitamin d,had sex,masturbated,low protein,drank a lot,row
,0.0,2.0,,0.0261729600581,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,0.0,0.0,danced
0.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,allergy shot
2.0,,,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,,,0.0,,0.0,2.0,,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,Puppy
0.0261729600581,0.0,2.0,,,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,0.0,0.0,ate breakfast
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,yoga
0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,went swimming
0.0,,2.0,,0.0,,,,,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,2.0,,,,2.0,,2.0,0.0,,housework
,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,social gathering
2.0,,0.0,,2.0,,,2.0,,,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,,,0.0,,0.0,2.0,,Benadryl
2.0,,0.0,,2.0,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,0.0,,,,0.0,,0.0,2.0,,Ranitidine
0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,ate gluten
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,,0.0,,2.0,2.0,0.0,0.0,,,,0.0,,0.0,2.0,,Calcium citrate
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,0.0,,,2.0,2.0,0.0,0.0,,,,0.0,,0.0,2.0,,Vitamin C
0.0,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,no breakfast
0.0,,2.0,,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,,0.0,2.0,2.0,,,,2.0,,2.0,0.0,,pasta
0.0,,2.0,,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,,2.0,0.0,,worked
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,0.0,,,,0.0,,0.0,2.0,,Turmeric
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,,,,,0.0,,0.0,2.0,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,walked
,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,thai food
,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,exercise
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,,,,,0.0,2.0,,Vitamin d
,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,had sex
2.0,,0.0,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,,,0.0,,,2.0,,masturbated
0.0,,2.0,,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,,low protein
0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,drank a lot
