Vitamins,Selenium,Echinacea,exercise - dancing,Naproxen,Acetaminophen,Relpax,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Docosahexaenoic acid,occular migraine meds,Gelatin,Biotin,elliptical,Borage oil,Gravol,Vitamin b complex,flu vaccine injection,No red meat,Seasonique,foot brace,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Ibuprofen 800mg,Iron,Iodine,catheter,Folic acid,Cetirizine,CrossFit,Glycine,Eicosapentaenoic acid,Coenzyme q-10,Vitamin d,Curcumin,Tolterodine,row
,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Vitamins
0.0,,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relpax
2.0,2.0,,,,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,2.0,,0.0,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
0.0,0.0,,,,,,2.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Cetirizine hydrochloride
0.0,0.0,,,,,,2.0,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Docosahexaenoic acid
