Dicyclomine,Tretinoin,Ritalin,BeachBody OnDemand,Phyical Therapy - stretches,Cyclizine,Osteopathy,Cold Pack,Pantoprazole,Methylprednisolone,Metformin,Tetralabs Gold Caps CBN,Solifenacin,Hydrocortisone,Fexofenadine,Prednisolone,Relaxing,Clinda-derm,digestive enzyme,Passionflower,excedrin migraine,Ingefära,Fludrocortisone,Feverfew,Achy breaky rub,Tetralabs Gold Caps,Piyo,Enada,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Progesterone,Vitamin B,Medication,Tranexamic acid,Flexeril,Zomig,Ginger,PeaPure,Montelukast,Vitamin b12,Sleep,Corticosteroids,Florinef,row
,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Dicyclomine
0.0,,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
0.0,0.0,,,,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
0.0,0.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
2.0,2.0,,,2.0,,2.0,,,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,0.0,,,2.0,,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,Pantoprazole
,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,Methylprednisolone
