burnt out,proprioception notes,really painful hands ,sleepy,Feel Shakey,depressed,starting down swing ,PAC,loose joints,Recouping,Bactrim,really painful hands,painful,alcohol,no sleep,little down ,Candesartan,sore upper back, Subluxated hip ,okay day,gene blood draw,exercise,headache,lonely,migraine notes,weakness,loose hips,Ibuprofen,New Car!!!,headache free,productive,tense,stepdown of medication,THC,recovering from flight ,Exhausted,stayed up to late last night,prodrome,bad sleep,Rest,Montelukast,Duexis,apathetic,Painful morning,Vitamin d,Recent gaming,happy,Overwhelmed,just blah,row
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,burnt out
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,proprioception notes
0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,really painful hands 
0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,sleepy
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,Feel Shakey
,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,depressed
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,starting down swing 
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,PAC
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,loose joints
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,Recouping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrim
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,really painful hands
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,painful
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,alcohol
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,no sleep
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,little down 
2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,2.0,Candesartan
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,sore upper back
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0, Subluxated hip 
