Nasal spray,slept in,Contraceptive pill,normal sleep,medium sleep,Slept,Selenium,ate badly,Vitamin C,yogurt,went to bed too late,slept not alone,catered food,Levothyroxine,Lexam,nachos,ate breakfast,Multi-vitamin,row
,,0.0,,,,0.0,,0.0,,2.0,2.0,,0.0,,,,0.0,Nasal spray
,,,,,0.0,,,,0.0,,,,,2.0,,0.0,,slept in
0.0,,,,,,0.0,,0.0,,2.0,2.0,,0.0,,,,0.0,Contraceptive pill
,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,normal sleep
,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,medium sleep
,0.0,,,,,,,,0.0,,,,,2.0,,0.0,,Slept
0.0,,0.0,,,,,,0.0,,2.0,2.0,,0.0,,,,0.0,Selenium
,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,ate badly
0.0,,0.0,,,,0.0,,,,2.0,2.0,,0.0,,,,0.0,Vitamin C
,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,yogurt
2.0,,2.0,,,,2.0,,2.0,,,0.0,,2.0,,,,2.0,went to bed too late
2.0,,2.0,,,,2.0,,2.0,,0.0,,,2.0,,,,2.0,slept not alone
,,,0.0,0.0,,,0.0,,,,,,,,0.0,,,catered food
0.0,,0.0,,,,0.0,,0.0,,2.0,2.0,,,,,,0.0,Levothyroxine
,2.0,,,,2.0,,,,2.0,,,,,,,2.0,,Lexam
,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,nachos
,0.0,,,,0.0,,,,0.0,,,,,2.0,,,,ate breakfast
0.0,,0.0,,,,0.0,,0.0,,2.0,2.0,,0.0,,,,,Multi-vitamin
