Multi vitamin,Home physio exercises,Superlong nap,gluten free diet,Prilosec,Osteopathy,Pantoprazole,Miralax low dose at night,dozed,Metformin,ate breakfast,Prednisone,Citalopram,Physio,Topiramate,creative writing,ponstan,Paracatamol with codeine,Protecting back,Ranitidine,Enbrel,Stretching,Progesterone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Deep rest,Sertraline,Zomig,psychologist,aqua therapy,Methotrexate,Multi-vitamin,Cardio,drawing,Imodium,row
,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,Multi vitamin
,,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Home physio exercises
,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,gluten free diet
,0.0,,,,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Prilosec
,0.0,,,0.0,,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Osteopathy
,0.0,,,0.0,0.0,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Pantoprazole
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,Miralax low dose at night
,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,dozed
,0.0,,,0.0,0.0,0.0,,,,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Metformin
,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,0.0,,,0.0,0.0,0.0,,,0.0,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Citalopram
,2.0,,,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,,,2.0,Physio
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Topiramate
0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,creative writing
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,ponstan
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Paracatamol with codeine
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Protecting back
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enbrel
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,Stretching
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Progesterone
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Vitamin B
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Migraine herb feverfew tablets
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,Magnesium
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,Tranexamic acid
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,Deep rest
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,Sertraline
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,Zomig
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,psychologist
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,aqua therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,Multi-vitamin
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,Cardio
,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,drawing
,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,Imodium
