Coffee,Aloe Detox Water,Vitamins,Fluoxetine,Medical Marijuana,Armodafinil,Caffeine,gluten free,Cabergoline,Levothyroxine,Weather- rain,Metoprolol,Meditation,gluten free diet,Viibryd,row
,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,Coffee
0.0,,0.0,,2.0,,,,,,0.0,,0.0,,,Aloe Detox Water
0.0,0.0,,,2.0,,,,,,0.0,,0.0,,,Vitamins
,,,,,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,2.0,Fluoxetine
2.0,2.0,2.0,,,,,,,,2.0,,2.0,,,Medical Marijuana
,,,0.0,,,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,2.0,Armodafinil
,,,0.0,,0.0,,2.0,0.0,2.0,,2.0,2.0,0.0,2.0,Caffeine
,,,2.0,,2.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,gluten free
,,,0.0,,0.0,0.0,2.0,,2.0,,2.0,2.0,0.0,2.0,Cabergoline
,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,0.0,2.0,0.0,Levothyroxine
0.0,0.0,0.0,,2.0,,,,,,,,0.0,,,Weather- rain
,,,2.0,,2.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,Metoprolol
0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,Meditation
,,,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,,2.0,gluten free diet
,,,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,,Viibryd
