Alcohol,Dancing,physical therapy,Sunlight,Ambien CR,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,Sisu B Calm,Zofran,Hydroxyzine,eye ointment,meds,Therapy,Famotidine,Vitamin b complex,strapping of shoulder,Trigger Points,Astelin,Vitamin C,heating pads,Norco,THC,Allegra,Klonopin,CBD,Singulair,Fish oil,stool softener,Rest,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,row
,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Alcohol
,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,Dancing
2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,physical therapy
0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Sunlight
0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Ambien CR
0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Magnesium glycinate
0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5-htp
0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Nasonex
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Claritin
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Strattera
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,Sisu B Calm
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,Zofran
