10.5 hours sleep,had a 4 hour nap right after breakfast,Medicinal Herbs,Viibryd,Alcohol,hiking,Migraine Diet,Naltrexone,Levothyroxine,bacon,Caffeine,8.5 hours sleep,ate garlic,8.75 hours sleep,Acetaminophen,spicy food,shopping,daytime nap,ate breakfast,sugar,lift x2,Forever Aloe Berry,busy,Fluoxetine,1 slice of cheese,advil,Armodafinil,espresso,tough half marathon,gluten ,12 hours sleep,gluten free,Ubiquinol,dairy,treadmill,Ibuprophen,washed and exfoliated my feet,ativan,gluten free diet,CoQ10,exercise,Garden of Life Raw Meal,shower,had a bath,laundry,gluten,archery,Woke Up With Alarm,Superlong nap,anti-diarrhea med,Equilibrant,Vitamin C,siracha,Zoloft,no breakfast,Amitryptiline,Metoprolol,Daytime nap,THC,ate legumes,b12 spray,1 slice of cheese ,did lots of cross stitch,Surgical repair of injured shoulder ,ate a slice of cheese,Fish oil,studied,Chocolate after 6pm,stool softener,ate spicy food yesterday,banana,mangos,Cabergoline,11 hours of sleep,Ibuprofen,popcorn,had sex,Meditation,Resrticted diet,ate dinner,Pristiq,row
,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,10.5 hours sleep
,,,,2.0,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,,,2.0,,,0.0,0.0,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,0.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,had a 4 hour nap right after breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Medicinal Herbs
,,,,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,Viibryd
,2.0,,,,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,Alcohol
,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0298574998546,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.117647058823,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,hiking
,2.0,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,Migraine Diet
2.0,2.0,,,0.0,,0.0,,,2.0,,2.0,,2.0,,,,2.0,,,2.0,,,,,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,2.0,,,,,2.0,0.0,2.0,0.0,,1.76590960184,0.0,,0.0,,2.0,0.0,,,,,,,2.0,,,0.0,,0.0,Naltrexone
,,,2.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,Levothyroxine
0.0,,,,,,,2.0,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,bacon
