Albuterol,Yoga,Zyrtec,gluten free diet,Levothyroxine,Caffeine,Vicodin,Miralax low dose at night,Viibryd,Exercise,Bactrim,Prednisone,Fluoxetine,Armodafinil,gluten free,Ginkgo,Protecting back,Cefaly Unit,Seasonique,Meditation,Essential oils,eye compress,Metoprolol,THC,cocodamol,pool,Maxalt,Zomig,Montelukast,Lidocaine Patch,Cane to get down stairs,Cabergoline,Ibuprofen,Paracetamol,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,1.11022302463e-16,,,,,0.0,,,,,,2.0,2.0,,,,,,,,1.11022302463e-16,,,0.0,0.0,,1.11022302463e-16,,2.0,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,,,,2.0,2.0,,,2.0,,,,0.0,0.0,2.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,,,gluten free diet
,,,2.0,,0.00451966372356,,,0.000752942068856,2.0,,,1.21387886834,1.97343672225,0.0,,,,,0.00266919184293,,,0.0,,,,,,,,,0.0190178895791,,,,Levothyroxine
,,,2.0,0.00451966372356,,,,0.00158459889225,2.0,,,1.30568255857,1.99078060407,0.0,,,,,0.000242666453624,,,0.0,,,,,,,,,0.00501850536213,,,,Caffeine
,1.11022302463e-16,,,,,,,,,,2.22044604925e-16,,,,,,2.0,2.0,,,,,,,,3.33066907388e-16,,,0.0,0.0,,2.22044604925e-16,,2.0,Vicodin
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,2.0,0.000752942068856,0.00158459889225,,,,2.0,,,1.25161845961,1.9815869196,0.0,,,,,0.000587239397255,,,0.0,,,,,,,,,0.0122258104608,,,,Viibryd
,,,,2.0,2.0,,,2.0,,,,2.0,0.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,Exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrim
,0.0,,,,,2.22044604925e-16,,,,,,,,,,,2.0,2.0,,,,,,,,2.22044604925e-16,,,0.0,0.0,,2.22044604925e-16,,2.0,Prednisone
,,,0.0,1.21387886834,1.30568255857,,,1.25161845961,2.0,,,,0.568144245175,2.0,,,,,1.28463389208,,,2.0,,,,,,,,,1.39941811734,,,,Fluoxetine
,,,0.0,1.97343672225,1.99078060407,,,1.9815869196,0.0,,,0.568144245175,,2.0,,,,,1.98755577882,,,2.0,,,,,,,,,1.9993639919,,,,Armodafinil
,,,2.0,0.0,0.0,,,0.0,,,,2.0,2.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protecting back
,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,0.0,Cefaly Unit
,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,,2.0,,0.0,Seasonique
,,,2.0,0.00266919184293,0.000242666453624,,,0.000587239397255,2.0,,,1.28463389208,1.98755577882,0.0,,,,,,,,0.0,,,,,,,,,0.00746414970263,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essential oils
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,eye compress
,,,2.0,0.0,0.0,,,0.0,,,,2.0,2.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,Metoprolol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,pool
,1.11022302463e-16,,,,,3.33066907388e-16,,,,,2.22044604925e-16,,,,,,2.0,2.0,,,,,,,,,,,0.0,0.0,,2.22044604925e-16,,2.0,Maxalt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,Montelukast
,0.0,,,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,2.0,Lidocaine Patch
,0.0,,,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,0.0,,2.0,Cane to get down stairs
,,,2.0,0.0190178895791,0.00501850536213,,,0.0122258104608,2.0,,,1.39941811734,1.9993639919,0.0,,,,,0.00746414970263,,,0.0,,,,,,,,,,,,,Cabergoline
,1.11022302463e-16,,,,,2.22044604925e-16,,,,,2.22044604925e-16,,,,,,2.0,2.0,,,,,0.0,2.0,,2.22044604925e-16,,0.0,0.0,0.0,,,,2.0,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,2.0,,,,,2.0,,,,,2.0,,,,,,0.0,0.0,,,,,,,,2.0,,,2.0,2.0,,2.0,,,massage
