Dancing,physical therapy,Naproxen,prayer,B12 timed release,THC,Therapy,playing music,creative writing,Exercise--walking,nsaid,Trigger Points,Buffered Salmon Oil - DHA - EPA,Deep rest,Tavegyl,Relpax,Sisu B Calm,Thyroid-Pro (CanPrev),Swimming,Biosil,magnesium ionic,AOR Zinc-Copper Balance,row
,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0,Dancing
2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,physical therapy
2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,Naproxen
2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,prayer
2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,B12 timed release
,,,,,,,,,,0.0,,,,,,,,,,,,THC
2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,Therapy
2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,playing music
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,creative writing
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,Exercise--walking
,,,,,0.0,,,,,,,,,,,,,,,,,nsaid
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0,Trigger Points
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0,Buffered Salmon Oil - DHA - EPA
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,Deep rest
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,0.0,,0.0,Tavegyl
,,0.0,,,,,,,,,,,,,,,,,,,,Relpax
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,Sisu B Calm
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,,0.0,0.0,,0.0,Thyroid-Pro (CanPrev)
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,Swimming
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,,,0.0,Biosil
,,,,,,,,,,,,,,,,,,,,,,magnesium ionic
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,,AOR Zinc-Copper Balance
