Wear shoulder brace,Oxynorm,Ambien CR,Freezie wrap,More stretching,Norco,Zofran,dairy free,Hydroxyzine,gluten free,Protecting back,heating pads,Lying flat,Miralax low dose at night,Sleep,cocodamol,drawing,row
,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,Wear shoulder brace
0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,Oxynorm
2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,Ambien CR
2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,Freezie wrap
0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,More stretching
0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,Norco
0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,Zofran
0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,dairy free
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,Hydroxyzine
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,2.0,gluten free
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,Protecting back
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,,0.0,2.0,heating pads
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,,2.0,0.0,Lying flat
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,2.0,0.0,Miralax low dose at night
,,,,,,,,,,,,,,,,,Sleep
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,,2.0,cocodamol
2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,,drawing
