Fluvoxamine,bunny cuddles,My Goodness Organics meals,ate breakfast,busy,Feverfew,woke up late,Thyreoidum,Cold Mask,Probiotic,Coenzyme q-10,10K steps,TigerBalm,Magnesium,day at home,Slept most of the day,Medications,Ritalin,gluten free diet,snuggles,Biest,Cannabis CBD capsule 10mg,Zolpidem,Tyrosine,Solifenacin,Prednisolone,grocery shopping,Methylphenidate,Ingefära,Fludrocortisone,Venlafaxine,exercise,Stayed in bed all day,Superlong nap,very active aqua class,listen to music ,Ropinirole,Tavegyl,Walking,Medication,Nortriptyline,stretching,Ginger,Hydrocortisone,digestive enzyme,Vitamin d,Thyrax,Yoga,hiking,physical therapy,A little stressed,had sex,Florinef,Exercise,Topiramate,Dermatologist,worked in garden,Plaquenil,banana,shopping,gluten,Chiropractic,crafting,scary new shit,Midodrine,neuro,Love,Ultrasound,counselor,coconut,Methylprednisolone,AM meds,BeachBody OnDemand,Cyclizine,Cold Pack,Pantoprazole,drank alcohol,mountain biking,dairy,yoga,Vitamin b12,housework,Piyo,knitting,did 7 mins of exercise   woohoo,Voltaren,psychiatrists,tomato,PeaPure,long shopping  trip,Passionflower,row
,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Fluvoxamine
2.0,,,,,,,,,,,0.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,,,,0.0,,,,,2.0,2.0,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,2.0,,,,2.0,0.0,,2.0,,2.0,2.0,,,,,,,,,0.0,2.0,0.0,,,,,,,2.0,,,,,,bunny cuddles
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,My Goodness Organics meals
,,,,0.0,,0.0,,,,2.0,,,,0.0,2.0,0.0,,,0.0,,,,,,2.0,0.0,,,2.0,,0.0,2.0,0.0,0.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,0.0,0.0788440145716,0.0,0.0,2.0,0.0,,2.0,0.0,,,0.0,,2.0,,0.0,,2.0,,,2.0,,2.0,,,,,,,,0.0,0.0,,0.0,,,2.0,,2.0,,2.0,0.0,,ate breakfast
,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
,,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,woke up late
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyreoidum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,2.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Coenzyme q-10
2.0,0.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,2.0,,,,0.0,,,,,2.0,2.0,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,2.0,,,,2.0,0.0,,2.0,,2.0,2.0,,,,,,,,,0.0,2.0,0.0,,,,,,,2.0,,,,,,10K steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
0.0,2.0,,,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Magnesium
,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,day at home
,,,2.0,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Slept most of the day
,,,0.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,0.0,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,,0.0,,,,0.0,,2.0,0.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,0.0,,0.0,,,2.0,,2.0,,,,,Medications
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
