Charcoal,Contraceptive pill,Bicarb on scalp,Stretching,Probiotics,Omeprazole,Inderal,Low-FODMAP diet,Multi-vitamin,Inolaxol,Iberogast,row
,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charcoal
0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Contraceptive pill
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bicarb on scalp
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Stretching
0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,Probiotics
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,Omeprazole
0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,Inderal
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,Low-FODMAP diet
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,Multi-vitamin
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,Inolaxol
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iberogast
