Ex bike,Metoprolol,Clinda-derm,Viibryd,Glucosamine,Claritin,Phyical Therapy - stretches,Fluvoxamine,Therapy,Physiotherapy,Caffeine,Osteopathy,Vitamin,floravit iron,Tranexamic acid,Naproxen,Toprol,Miralax low dose at night,Amitriptyline,Cycling,tumeric extract,wear mask,Relpax,Deep rest,Aspirin,gluten free,Prednisone,Gelatin,Esopram,Zantac,Lithium,Flonase,Cambia,vitamin D tablets,N-acetyl cysteine,Thyroid-Pro (CanPrev),Clarithromycin,Borage oil,Valerian,Triamcinolone Lotion,methotraxate,Vitamin b complex,Woodlock,Levothyroxine,Mt. Si ACDC 2x Coco Caps,Probiotic,therapy session,Weighted Blanket,Sulfasalazine,Megaspore,Dinner,Phenergan,Steps,Magnesium,pain relief,Boswelia Complex,fiber art - sewing,THC,Famotidine,playing music,Swimming,Allegra,Flexeril,Goth clubbing,Guarana & Ginseng,Fish oil,linseed,Marijuana,Rest,Paracatamol with codeine,Zolmitriptan,Extreme anxiety,laxatives,Post-op ice device,Standing desk,Methylphenidate,AOR Zinc-Copper Balance,cocodamol,Corticosteroids,Lexapro,Triamcinolone Cream,Shoe Insoles,Mirtazapine,Home physio exercises,Ritalin,Buteyko  breathing exercises ,Ropinirole,Topical ibuprofen,Bicarb on scalp,Prilosec,Ultrasound,Miralax low dose PM,exercise - dancing,Protecting back,Human Growth Hormone,Tramadol,Voltaren,Acetaminophen,nsaid,Vitamins,Spasfon,Tyrosine,Solifenacin,Charcoal,Coffee,pilates,Prednisolone,Strattera,Relaxing,Probiotic Gummy,Citalopram,Zofran,Topamax,Hydroxyzine,Synthroid,Inolaxol,Sauna,7-keto-dhea,tired,Dexedrine,Carbomer eye drops,creative writing,Umeboshi,Low-FODMAP diet,Vitamin Gummies,Complex b,Medicinal Herbs,Sitting,Humira,Acetaminophen plus Codeine Number 3,Tetralabs Gold Caps CBN,Inderal,Buffered Salmon Oil - DHA - EPA,SAD Light Box,Astelin,Vitamin C,Vitamin B,co-tenidone,Vitamin b6,Lamictal,Anakinra,5 or more portions of fruit and veg,Tavegyl,Sisu B Calm,Melatonin,Cleaning ,Gabapentin,Maxalt,Walking,Medication,Creatine,Mezavant,Magnesium gel,Surgical repair of injured shoulder ,low acid,Cymbalta,Migraine herb feverfew tablets,Ginger,Cranberry extract,Yin Chiao,Vitamin b12,prayer,Vitamin d,Methotrexate,Probiotics,Curcumin,Dicyclomine,Tolterodine,massage,Plaquenil,Diazepam,Armodafinil,Yoga,Norco,Contraceptive pill,More stretching,physical therapy,L-methylfolate,period,Andrographis compound,Omeprazole,Tretinoin,Iberogast,Florinef,Lying flat,Nia Class,Acupuncture,Ambien CR,Metformin,catheter,Exercise,Recov Bipeptides,sugar free diet,porn,Biosil,Dancing,Ribose,Trigger Points,Keppra,Physio,Cardio,Topiramate,Thyroxine,Feverfew,Drinking eight glasses or more of water,CoQ10,Valium,Multi vitamin,Pantoprazole,Oxynorm,exercise bike,elliptical,SAM-E,journaling,ZMA,Klonopin,Garden of Life Raw Meal,alverine,Midodrine,Multivitamin,Purenithol,ponstan,Ondansetron,Tummy Tamers,Love,Pain management,Sertraline,video games,anti-nausea pills,Allergy Shots,Cabergoline,magnesium ionic,Zinc,Ibuprofen,Hemorrhoid Cream,Meditation,Nortriptyline,Fexofenadine,Wear shoulder brace,Zomig,Migraine Diet,good sleep,Naltrexone,Glutamine,Selenium,Turmeric,Sunlight,Imodium,aqua therapy,stressed,birth control,mountain biking,Magnesium glycinate,Inflamma-blox,5-htp,colofac mr,Ventolin,Forever Aloe Berry,Darifenacin,Cetirizine hydrochloride,Rowing machine,Wei Zhang Shun Qi Wan,Fluoxetine,B12 timed release,Hit 10k Steps,Ligament Restore,Chiropractic,Ecural,Monteluklast,walking dogs,Daily walk,Ubiquinol,Fruit,Exercise--walking,Achy breaky rub,dairy free,Solpadol,Athlete Vitamin,Tetralabs Gold Caps,Magnesium amino acid chelate,gluten free diet,amphetamine salts,breathing exercises,Tensor Band,flu vaccine injection,Benadryl,Enada,Stretching,Wore arch supports all day,Ranitidine,Nasonex,Seasonique,Cerelle,Cyclizine,thyroid support complex,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Bovine colostrum,Support worker assistance,Temazepam,heating pads,Multi-vitamin,Iron,Tian Ma Tou Tong - headache,Solpadeine Max,Wristies,D-Ribose,Mebeverine,Adderall XR,Cetraben cream,Pataday,Azathioprine,Passionflower,Iodine,Freezie wrap,Singulair,excedrin migraine,Solpadeine,Pentasa,cough syrup,psychologist,Clonazepam,Montelukast,Heating Pad,Sleep,media,Moringa,Paracetamol,Pristiq,Resrticted diet,drawing,Trazodone,row
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Ex bike
,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metoprolol
,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0234542394895,,,,,,,,,,,,,,,0.0132979691356,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0835823408292,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0414679499497,,,,,,,,,,Clinda-derm
,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glucosamine
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,-2.22044604925e-16,,,,,0.0,,,,,,,2.0,,,,0.0,-2.22044604925e-16,,,2.31039305282e-05,,0.0,,0.0346317349919,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.31039305282e-05,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,-2.22044604925e-16,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,2.0,,0.000266205862612,,0.0408162165287,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0331267231222,,,,,,,,,,,,,,2.0,,,-2.22044604925e-16,,,,,,,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,Claritin
,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Physiotherapy
