Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,rice,had sex,Florinef,slept not alone,spicy food,had sex last night,singing,ate breakfast,Solifenacin,sugar yesterday,Darifenacin,ate lots,Probiotic,lifted weights,digestive enzyme,travel,10 hours interrupted sleep,Ribose,Monteluklast,slept lots,Socialising,Physio,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,worked out,holiday,Friends,Piyo,exercise,rest day,busy,Off work,A little stressed,shopping,banana,SAM-E,ate eggs,very active aqua class,Superlong nap,Cider,Mixed nuts snack,TigerBalm,exercised,ate dairy,went to bed too late,Much sex,scary new shit,Social,worked,day at home,Cetraben cream,maple syrup,slept in,long shopping  trip,walked,Cinema,Guarana & Ginseng,eating out,Ginger,Work hard,Hydrocortisone,no gluten,Vitamin b12,mango,beans,Cerelle,Passionflower,Singing,row
,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggles
1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dehydrated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rice
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept not alone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spicy food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singing
1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,ate breakfast
1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar yesterday
