Superlong nap,Yoga,hiking,Off work,allergy shot,Medicinal Herbs,medium sleep,Daily walk,had sex,walked around town,Umeboshi,Metoprolol,sun exposure,ate breakfast,row
,0.0,,,0.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,Superlong nap
0.0,,,,0.0,,2.0,0.0,,2.0,0.0,,,,Yoga
,,,2.0,,,,,0.0,,,,,0.0,hiking
,,2.0,,,,,,2.0,,,,,2.0,Off work
0.0,0.0,,,,,2.0,0.0,,2.0,0.0,,,,allergy shot
2.0,,,,,,,,,,,2.0,,,Medicinal Herbs
2.0,2.0,,,2.0,,,2.0,,0.0,2.0,,,,medium sleep
0.0,0.0,,,0.0,,2.0,,,2.0,0.0,,,,Daily walk
,,0.0,2.0,,,,,,,,,,0.0,had sex
2.0,2.0,,,2.0,,0.0,2.0,,,2.0,,,,walked around town
0.0,0.0,,,0.0,,2.0,0.0,,2.0,,,,,Umeboshi
0.0,,,,,2.0,,,,,,,,,Metoprolol
,,,,,,,,,,,,,,sun exposure
,,0.0,2.0,,,,,0.0,,,,,,ate breakfast
