Carisoprodol,Yoga,physical therapy,0.9% Sodium Chloride Solution 1L,Omeprazole,Fexofenadine,Vitamin D3,Citalopram,Daily walk,nap,Umeboshi,Subling B12,Magnesium citrate,Calcium,Anakinra,Azathioprine,Kuzu,Iodine,Pentasa,Vitamin b12,Ibuprofen,electric wheelchair,Paracetamol,Propranolol,row
,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,Carisoprodol
,,,,,,,2.0,1.11022302463e-16,,2.0,2.0,,,,2.0,2.0,,2.0,,,,,,Yoga
,,,,,,,,,0.0,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,2.0,,,,0.9% Sodium Chloride Solution 1L
0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,Omeprazole
,,,,,,,,,,,,,,0.0,,,,,,,,,,Fexofenadine
,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,Vitamin D3
,2.0,,,,,,,2.0,,,0.0,,,,0.0,0.0,,0.0,,,,,,Citalopram
,1.11022302463e-16,,,,,,2.0,,,2.0,2.0,,,,2.0,2.0,,2.0,,,,,,Daily walk
,,0.0,,,,,,,,,,,,,,,,,,,,,,nap
,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,Umeboshi
,2.0,,,,,,0.0,2.0,,,,,,,0.0,0.0,,0.0,,,,,,Subling B12
,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,Magnesium citrate
,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,Calcium
,,,,,0.0,,,,,,,,,,,,,,,,,,,Anakinra
,2.0,,,,,,0.0,2.0,,,0.0,,,,,0.0,,0.0,,,,,,Azathioprine
,2.0,,,,,,0.0,2.0,,,0.0,,,,0.0,,,0.0,,,,,,Kuzu
,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,Iodine
,2.0,,,,,,0.0,2.0,,,0.0,,,,0.0,0.0,,,,,,,,Pentasa
,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,Vitamin b12
,,,2.0,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,electric wheelchair
,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,Propranolol
