adulting,fucking miserable,medicated,suicidal,flood triggers,StressedToTheMax!,exhausted,good sleep,couch potato,very foggy,depressed,Emotionally Drained,Bride2Be,Combo happy-frustrated-worried,SoTired,sober,workflow ,IHurtBad,fine,ptsd flare,new medication,eyes hurt,low energy,MedicalProblems,SoldierLife,Pain,finished rough draft of booked,Body Achess,low-key day,travel,baby chicks died,stuck in bed,snow,early day,cranky,late,INR,Good wake up,priorities,car accident,interview with sabrina,frustrated,painful,motivated,LosingMyJob,normal,very hard to do anything today,a lot of muscle pain from washing my feet yesterday,JobLife,anna's suicide,gum pain,StupidAccident,sore,too many things this week,mom's surgery,obsessing,new medication working,droopyeyed,very sleepy,house stress,chicks arrived,pet died,ImABridesmaid,anxiety,lost,Tired,Physical therapy,bad day,did the treatment thing too,Sleepy,Day off,disoriented,work,LoveNaps,MOH,lots to do,skip day,Painful morning,stayed in bed,NightNightBlues,afternoon bonfire,Physically Spent,presentation at school,row
,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,adulting
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,,,,,,0.0,,,,,,fucking miserable
0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,medicated
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,2.0,,,,,,suicidal
,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,flood triggers
0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,StressedToTheMax!
0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,exhausted
0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.22044604925e-16,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,good sleep
,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,couch potato
,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,very foggy
