danced,allergy shot,Didn't shower,Went to the store,had sex,Texted friend,Went to a party,ate breakfast,yoga,Read comics,Diphenhydramine,went swimming,Had candy,no breakfast,Played Go fish,ate gluten,Quiet,skipped lunch,listen to music ,grapes,slept in,Slept a lot,Swept,ate meat,12K Steps,Had peach soda,Light dinner,drank a lot,ate dinner,Ate junk food,row
,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,danced
0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,allergy shot
,,,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Didn't shower
,,0.0,,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Went to the store
,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,had sex
,,2.0,2.0,,,2.0,2.0,,2.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,,2.0,2.0,,2.0,2.0,Texted friend
,,0.0,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Went to a party
,,0.0,0.0,,2.0,0.0,,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yoga
,,0.0,0.0,,2.0,0.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Read comics
,,2.0,2.0,,0.0,2.0,2.0,,2.0,,,2.0,,2.0,,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,,2.0,2.0,,2.0,2.0,Diphenhydramine
0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,went swimming
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Had candy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no breakfast
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Played Go fish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate gluten
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,Quiet
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,skipped lunch
,,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,0.0,0.0,,2.0,2.0,,2.0,2.0,listen to music 
,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,grapes
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,slept in
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,Slept a lot
,,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,2.0,2.0,,0.0,,2.0,2.0,,2.0,2.0,Swept
,,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,2.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,ate meat
,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,12K Steps
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,,0.0,,0.0,0.0,Had peach soda
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,,,0.0,0.0,Light dinner
0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,drank a lot
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,,0.0,ate dinner
,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,0.0,0.0,,0.0,,Ate junk food
