Diazepam,Ex bike,Ranitidine,Acetyl Carnitine,Lithium,Sunlight,Albuterol Inhaler,Naproxen,Acetaminophen,Amitriptyline,birth control,Magnesium glycinate,Melatonin,N-Acelcysteine,5-htp,Nasonex,Claritin,pilates,Strattera,Creatine,Clonazepam,Ecural,Magnesium gel,Daily walk,Excedrin,Diclofenac,Famotidine,Turmeric,Vitamin b complex,Multi vitamin,Topical ibuprofen,Ligament Restore,Wore arch supports all day,Standing desk,therapy session,Stretching,Astelin,SAD Light Box,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,Vitamin D3,Steps,Magnesium,5 or more portions of fruit and veg,Panamax,THC,cocodamol,Prednisone,Allegra,Klonopin,Cetirizine,Singulair,Benadryl,Fish oil,Ibuprofen 600mg,cough syrup,Tizanidine,Rest,CoQ10,Cranberry extract,Vitamin b12,Sleep,Post-op ice device,Zinc,Vitamin d,Soluble Aspirin,Meditation,Nortriptyline,massage,linseed,row
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,Diazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex bike
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetyl Carnitine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol Inhaler
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
