Flexeril,ate cheese-again,Ibuprofen,Synthroid,Valacyclovir,ate salsa,0.9% Sodium Chloride Solution 1L,ate rice,Vitamin d,Amitriptyline,ate tomatoes,Metformin,ate rice last night,row
,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,ate cheese-again
,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,Synthroid
,,,,,,,,,,,,,Valacyclovir
,,,,,,,,,,,,,ate salsa
,,,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
,,,,,,,,,,,,,ate rice
,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,ate tomatoes
,,,,,,,,,,,,,Metformin
,,,,,,,,,,,,,ate rice last night
