lots of back pain,walking,can hardly move,sleepy,Active all day,Awful pain upon waking,Felt better when moving,ate breakfast,Happy,Legs hurt when still,Rested,good afternoon at work,Kept moving,Good morning,couldn't focus,Long week,too busy,nausea,Hard to focus,crawled,Couldn't walk,low productivity,still very tired,unproductive,Super Bowl,Overdid it,active early,left school early,content,determined,Crummy eating habits,Legs hurt in morning,exercise,better mood,Ibuprofen,Very bad morning,free,Poor sleep quality,very productive,focused,Went out after work,cocodamol,neck massage,side-effects,Stayed late at work a lot this week,fulfilled,stressed,PC ,Started Deeper Holosync Track,off-roading,legs hurt at work,church,grouchy,nauseated,washed dishes,DONE being addicted to food,happy,Can't fall asleep,relaxed,Bad sleep,better today,benadryl ,awake,worked,much better today!,Long hours,doctor appointment,gentle exercise,Resisted compulsions,aura migraine,Ate poorly,Church,aftereffects,Frazzled,sore shoulder,tired in afternoon,Content,Almost left work,Party,productive,Not well fed,cleansing,back still hurting,Had to lie down at work,Audit,pain,rain,Daytime nap,physio,Bus to work,cleaning,a bit better,WFH morning,Self-conscious,every muscle sore to extreme,No church,Long work day,good sleep,Stomach flu,Rough morning,weightlifting,row
,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,lots of back pain
,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,walking
0.0,,,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,can hardly move
,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,sleepy
0.0,,0.0,,,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Active all day
2.0,,2.0,,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Awful pain upon waking
2.0,,2.0,,2.0,0.0,,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Felt better when moving
,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,ate breakfast
0.0,,0.0,,0.0,2.0,2.0,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Happy
2.0,,2.0,,2.0,0.0,0.0,,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Legs hurt when still
