Carisoprodol,Yoga,physical therapy,0.9% Sodium Chloride Solution 1L,Omeprazole,Fexofenadine,Vitamin D3,Citalopram,Daily walk,nap,Umeboshi,Subling B12,Magnesium citrate,Calcium,Anakinra,Azathioprine,Kuzu,Iodine,Pentasa,Vitamin b12,Ibuprofen,electric wheelchair,Paracetamol,Propranolol,row
,,,,,,,,,,,,,,,,,,,,,,,,Carisoprodol
,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
,,,,,,,,,,,,,,,,,,,,,,,,Omeprazole
,,,,,,,,,,,,,,,,,,,,,,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,,,,,,,,,,,,,,,,,,,,,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,,,,,Umeboshi
,,,,,,,,,,,,,,,,,,,,,,,,Subling B12
,,,,,,,,,,,,,,,,,,,,,,,,Magnesium citrate
,,,,,,,,,,,,,,,,,,,,,,,,Calcium
,,,,,,,,,,,,,,,,,,,,,,,,Anakinra
,,,,,,,,,,,,,,,,,,,,,,,,Azathioprine
,,,,,,,,,,,,,,,,,,,,,,,,Kuzu
,,,,,,,,,,,,,,,,,,,,,,,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,Pentasa
,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,electric wheelchair
,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,,,,,,,,,,,,,,,,,,,,,,,Propranolol
