Codeine-Panadol,Nasonex,Ventolin,Antihistamine,Zofran,Codeine,Zoladex,Buspirone,Vitamin B,Vitamin a,Probiotics,Magnesium,Iron,Flutiform,Boswelia Complex,Spironolactone,row
,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Codeine-Panadol
0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Nasonex
0.0,0.0,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Ventolin
0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Antihistamine
2.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Zofran
0.0,0.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Codeine
2.0,2.0,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Zoladex
2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,Buspirone
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Vitamin B
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,Vitamin a
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,Probiotics
2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,Magnesium
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,Iron
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,Flutiform
0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,Boswelia Complex
2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,Spironolactone
