Diazepam,Multivitamin,sugar free diet,elliptical,L-methylfolate,Pristiq,Keppra,Exercise--walking,massage,Glucosamine,Ibuprofen,birth control,Meditation,Aspirin,Cambia,Lexapro,Gabapentin,row
,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Diazepam
0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Multivitamin
,,,,,,,,,,,,,,,,,sugar free diet
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,elliptical
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,L-methylfolate
0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Pristiq
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Keppra
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Exercise--walking
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,massage
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,2.0,Glucosamine
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,Ibuprofen
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,2.0,2.0,birth control
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,0.0,Meditation
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,Aspirin
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,Cambia
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,Lexapro
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,Gabapentin
