Wear shoulder brace,Ambien CR,More stretching,physical therapy,Selenium,Burbur-Pinella,Lying flat,Alcohol,Forever Aloe Berry,Zolpidem ER,use exercise bike,Zofran,Hydroxyzine,Lavender oil,eye ointment,gluten free,meds,N-acetyl cysteine,dairy free,Magnesium malate,Green Vibrance,Oxynorm,Epsom Salts,Quell Unit,Garden of Life Raw Meal,heating pads,eye compress,Norco,catheter,eye drops,pool,Gaba,Freezie wrap,CBD,CuraMed,Thyroid-Pro,Zomig,stool softener,Rest,Ice pack,Counseling,cocodamol,Diphenhydramine,Inositol,row
,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,Wear shoulder brace
0.0,,0.0,0.0,,,0.0,0.0,,,,2.22044604925e-16,1.11022302463e-16,,0.0,0.0,0.0,,0.0,,,0.0,,,,2.22044604925e-16,0.0,2.22044604925e-16,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,Ambien CR
0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,More stretching
,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,physical therapy
,,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Selenium
,,,,0.0,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Burbur-Pinella
0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,Lying flat
,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,Alcohol
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Forever Aloe Berry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem ER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use exercise bike
0.0,2.22044604925e-16,0.0,0.0,,,0.0,0.0,,,,,2.22044604925e-16,,0.0,0.0,0.0,,0.0,,,0.0,,,,2.22044604925e-16,0.0,2.22044604925e-16,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,Zofran
0.0,1.11022302463e-16,0.0,0.0,,,0.0,0.0,,,,2.22044604925e-16,,,0.0,0.0,0.0,,0.0,,,0.0,,,,2.22044604925e-16,0.0,2.22044604925e-16,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,Hydroxyzine
,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Lavender oil
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,eye ointment
0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,gluten free
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,meds
,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,N-acetyl cysteine
0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,dairy free
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Magnesium malate
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Green Vibrance
