Codeine-Panadol,Valdoxan,Iron,Migraine Diet,Vyvanse,Soluble Aspirin,pur-absorb iron,Aspirin,Nasonex,Zofran,Buspirone,DLPA,Valium,Ventolin,Antihistamine,Codeine,Zoladex,Vitamin B,Temazepam,Probiotics,Magnesium,Boswelia,Flutiform,Boswelia Complex,Mirtazapine,Spironolactone,Pain management,Voltaren,Vitamin a,Athlete Vitamin,Ibuprofen,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine-Panadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdoxan
,,,,,,,,1.0,-1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine Diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vyvanse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
,,1.0,,,,,,,-1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,Nasonex
,,-1.0,,,,,,-1.0,,-1.0,,,-1.0,,-1.0,-1.0,-1.0,,,,,,,,-1.0,,,-1.0,,,Zofran
,,1.0,,,,,,1.0,-1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,Buspirone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valium
,,1.0,,,,,,1.0,-1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,Ventolin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antihistamine
,,1.0,,,,,,1.0,-1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,Codeine
,,1.0,,,,,,1.0,-1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,Zoladex
,,1.0,,,,,,1.0,-1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flutiform
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtazapine
,,1.0,,,,,,1.0,-1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,Spironolactone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain management
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,1.0,,,,,,1.0,-1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,Vitamin a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athlete Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
