played video games,Sewing,Yoga,danced,Syncope,gluten free diet,Caffeine,Went to the store,0.9% Sodium Chloride Solution 1L,had sex,Levothyroxine,Viibryd,Pokemon go,12 hours sleep,ate breakfast,Daily walk,Vitamin D3,cooked,Fluoxetine,Citalopram,travel,Armodafinil,espresso,Vitamin b12,gluten ,sugar,gluten free,hot,8 hours sleep,Groceries,Subling B12,exercise,gaming,shopping,gluten,Went to walmart,Magnesium citrate,Calcium,Zoloft,busy,studied,Amitryptiline,Metoprolol,catheter,housework,Azathioprine,Kuzu,Iodine,home alone,Cinema,did photography,Sleeping pills ,Pentasa,no sleep,Heating Pad,Inactive,Cabergoline,Ibuprofen,electric wheelchair,Meditation,row
,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,2.0,,played video games
,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,,,,,,Sewing
,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,2.0,,,2.0,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,danced
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Syncope
,,,,,,,,,2.0,0.0,2.0,,,,,,,,,,,2.0,,0.0,2.0,2.0,,,,,,,,2.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Caffeine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Went to the store
,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.9% Sodium Chloride Solution 1L
,0.0,,,,2.0,,,,,2.0,0.0,,,2.0,,,,,,,,0.0,,2.0,0.0,0.0,,,,,2.0,0.0,,0.0,,,,,2.0,0.0,2.0,2.0,0.0,,,,,,,,2.0,,0.0,,,,,,0.0,had sex
,,,,,0.0,,,,2.0,,2.0,,,,,,,,,,,2.0,,0.0,2.0,2.0,,,,,,,,2.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,Levothyroxine
,,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,Viibryd
2.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,Pokemon go
0.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,2.0,,12 hours sleep
,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,2.0,,,,,,,,0.0,,2.0,,,,,,,ate breakfast
,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,2.0,,,2.0,,,,,Daily walk
2.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,Vitamin D3
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,cooked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,,,0.0,,,,,Citalopram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armodafinil
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,espresso
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,,,,,0.0,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,Vitamin b12
,,,,,0.0,,,,2.0,0.0,2.0,,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,2.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,gluten 
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,,,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,sugar
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,0.0,,2.0,0.0,,,,,,,,,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,gluten free
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,0.0,,,,,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,hot
0.0,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,2.0,,8 hours sleep
,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Groceries
,,2.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,,,0.0,,,,,Subling B12
,2.0,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,0.0,,2.0,,,,,,,exercise
,0.0,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,,,,,,gaming
0.0,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,,,,2.0,2.0,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,2.0,,shopping
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0,gluten
,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Went to walmart
