Allegra,yoga,Montelukast,Singulair,Meticorten,walked the dogs,Bagomicina,brushed dogs,Ketotifeno,Calcort,row
,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Allegra
2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,yoga
0.0,2.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Montelukast
0.0,2.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,Singulair
0.0,2.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,Meticorten
2.0,0.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,walked the dogs
0.0,2.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,Bagomicina
2.0,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,brushed dogs
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,Ketotifeno
0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,Calcort
