Ex bike,cooking,Midodrine,Vitamins,Phyical Therapy - stretches,Osteopathy,Meticorten,Tranexamic acid,Naproxen,Amitriptyline,ate breakfast,Calcort,N-acetyl cysteine,Vitamin b complex,Ketotifeno,Mt. Si ACDC 2x Coco Caps,Probiotic,Stretching,TigerBalm,Steps,House cleaning,THC,Cambia,distraction,Allegra,Flexeril,Fish oil,Rest,Post-op ice device,Hobbies,cocodamol,Corticosteroids,Lexapro,Shoe Insoles,Tretinoin,Ritalin,Benadryl,Nasonex,Human Growth Hormone,Hydrocortisone,Solifenacin,Coffee,pilates,Strattera,Relaxing,Clinda-derm,Synthroid,excedrin migraine,Dexedrine,Aspirin,SAD Light Box,Astelin,Vitamin C,Vitamin B,Ropinirole,5 or more portions of fruit and veg,Equilibrant,Meditation,Gabapentin,Klonopin,Medication,Zomig,Cranberry extract,Vitamin b12,Vitamin d,massage,Diazepam,L-methylfolate,had sex,Florinef,Metformin,Exercise,sugar free diet,walked the dogs,Feverfew,Garden of Life Raw Meal,Bagomicina,Glucosamine,Multivitamin,Mirtazapine,Gardening,Sertraline,magnesium ionic,Zinc,Ibuprofen,Melatonin,Fexofenadine,Dicyclomine,BeachBody OnDemand,Cyclizine,Selenium,Sunlight,brushed dogs,Pantoprazole,birth control,Magnesium glycinate,5-htp,Ventolin,Forever Aloe Berry,yoga,digestive enzyme,Daily walk,Exercise--walking,Achy breaky rub,elliptical,Groceries,Famotidine,Friends,Piyo,Tensor Band,Topical ibuprofen,Enada,Wore arch supports all day,Social interactions,Topamax,Codeine,Claritin,Progesterone,heating pads,Adderall,Wristies,Keppra,Wellbutrin,Azathioprine,Singulair,cough syrup,Montelukast,Sleep,Paracetamol,Passionflower,Trip,Pristiq,row
,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,Ex bike
,,,,,,2.0,,,,,2.0,,,2.0,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,0.0,,cooking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Phyical Therapy - stretches
,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Osteopathy
,2.0,,,,,,,,,,0.0,,,0.0,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,2.0,,Meticorten
,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Tranexamic acid
0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.102435703328,,,,,,,,,0.00710834829435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,2.0,,0.0,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
