Ranitidine,Probiotic,Creatine,Clonazepam,Ecural,Fish oil,Selenium,Synthroid,Vitamin C,physical therapy,Physiotherapy,Florinef,Standing desk,Levothyroxine,Nia Class,Lithium,Mezavant,Magnesium gel,Nortriptyline,linseed,row
,0.0,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Ranitidine
0.0,,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Probiotic
2.0,2.0,,2.0,2.0,2.0,,2.0,,,0.0,,0.0,,,2.0,2.0,2.0,2.0,0.0,Creatine
0.0,0.0,2.0,,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Clonazepam
0.0,0.0,2.0,0.0,,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Ecural
0.0,0.0,2.0,0.0,0.0,,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Fish oil
,,,,,,,,0.0,,,,,2.0,,,,,,,Selenium
0.0,0.0,2.0,0.0,0.0,0.0,,,,,2.0,,2.0,,,0.0,0.0,0.0,0.0,2.0,Synthroid
,,,,,,0.0,,,,,,,2.0,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,physical therapy
2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,,0.0,,,2.0,2.0,2.0,2.0,0.0,Physiotherapy
,,,,,,,,,,,,,,2.0,,,,,,Florinef
2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,2.0,0.0,Standing desk
,,,,,,2.0,,2.0,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,2.0,,,,,,,,,Nia Class
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,,0.0,0.0,0.0,2.0,Lithium
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,,0.0,0.0,2.0,Mezavant
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,,0.0,2.0,Magnesium gel
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,,0.0,0.0,0.0,,2.0,Nortriptyline
2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,0.0,,0.0,,,2.0,2.0,2.0,2.0,,linseed
