Syncope,tired,period,0.9% Sodium Chloride Solution 1L,IV fluids,Nurse,dinner with friends,ate breakfast,Headache,Suuuuper urgent bathroom trip after 6PM,Hairdresser,Visitors,Period coming,sick,nope,pain,Stanford,stressed,sinua infection,URI,very hot weather,feels,Very Hot Weather,Too Hot,hot weather,alcohol,Tachy,Exhausted,Very low appetite,walked,worried,movies,Groceries,Ibuprofen,Cold,row
,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Syncope
0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.245257376205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,tired
0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,period
2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,0.0,,0.9% Sodium Chloride Solution 1L
0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,IV fluids
0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Nurse
0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,dinner with friends
,2.0,,,,,,,,2.0,,,2.0,2.0,,,,0.0,2.0,2.0,,2.0,,,,2.0,,,2.0,0.0,0.0,,,,2.0,ate breakfast
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Headache
,0.0,,,,,,2.0,,,,,0.0,0.0,,,,2.0,0.0,0.0,,0.0,,,,0.0,,,0.0,2.0,2.0,,,,0.0,Suuuuper urgent bathroom trip after 6PM
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Hairdresser
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Visitors
,0.0,,,,,,2.0,,0.0,,,,0.0,,,,2.0,0.0,0.0,,0.0,,,,0.0,,,0.0,2.0,2.0,,,,0.0,Period coming
,0.0,,,,,,2.0,,0.0,,,0.0,,,,,2.0,0.0,0.0,,0.0,,,,0.0,,,0.0,2.0,2.0,,,,0.0,sick
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nope
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,pain
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Stanford
0.0,0.245257376205,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,stressed
,0.0,,,,,,2.0,,0.0,,,0.0,0.0,,,,2.0,,0.0,,0.0,,,,0.0,,,0.0,2.0,2.0,,,,0.0,sinua infection
,0.0,,,,,,2.0,,0.0,,,0.0,0.0,,,,2.0,0.0,,,0.0,,,,0.0,,,0.0,2.0,2.0,,,,0.0,URI
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,very hot weather
,0.0,,,,,,2.0,,0.0,,,0.0,0.0,,,,2.0,0.0,0.0,,,,,,0.0,,,0.0,2.0,2.0,,,,0.0,feels
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Very Hot Weather
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,2.0,,Too Hot
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,hot weather
,0.0,,,,,,2.0,,0.0,,,0.0,0.0,,,,2.0,0.0,0.0,,0.0,,,,,,,0.0,2.0,2.0,,,,0.0,alcohol
