Yoga,physical therapy,fresh food,hot water bottle,Vyvanse,day after weights,vacation,shopped,crocheted,had sex,Vicodin,picnic,played video games,Nabumetone,Dogs,ate breakfast,gluten,snuggly cat,busy,long shopping  trip,Prednisone,grocery shopping,Clonazepam,cooking,went swimming,Synthroid,lifted weights,Swam,nap,ate pizza,dairy,swim class,alcohol yesterday,ate dairy,party,Hydroxychloroquine,exercise,Slept well,took naps,Off work,ate eggs,Seasonique,gym,b12 shot,Walked a lot,long walk,listen to music ,no breakfast,bunny cuddles,worked,worked out,Heathen ritual,lots of walking,Maxalt,slept in,Gardening,Quell Unit,Sertraline,Thyroid-Pro,fun shopping,walked,Montelukast,smoothie,new environment,Cane to get down stairs,took nap,Ibuprofen,Methotrexate,juiced veggies,Adderall XR,smoked,massage,swimming,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,physical therapy
,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,fresh food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot water bottle
,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Vyvanse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day after weights
,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,vacation
,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,shopped
,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,crocheted
,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.455996348384,,0.0,0.0,,0.0,,,,,0.0,,,had sex
