hiking,bacon,spicy food,sugar yesterday,10 hours interrupted sleep,sugar,Vitamin B2,rice,slept late,banana,exercise,nsaid,Superlong nap,Mixed nuts snack,exercised,THC,pool,maple syrup,slept in,CoQ10,no gluten,mango,beans,row
,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,hiking
,,,0.0,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,0.0,,0.0,,,0.0,bacon
0.0,,,,0.0,2.0,,,2.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,spicy food
,0.0,,,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,0.0,,0.0,,,0.0,sugar yesterday
0.0,,0.0,,,2.0,,,2.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,10 hours interrupted sleep
2.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,sugar
,0.0,,0.0,,0.0,,0.0,,2.0,0.0,,,,0.0,,2.0,0.0,,0.0,,,0.0,Vitamin B2
,0.0,,0.0,,0.0,0.0,,,2.0,0.0,,,,0.0,,2.0,0.0,,0.0,,,0.0,rice
2.0,,2.0,,2.0,0.0,,,,,,,2.0,2.0,,,,,2.0,,2.0,2.0,,slept late
,2.0,,2.0,,2.0,2.0,2.0,,,2.0,,,,2.0,,0.0,2.0,,2.0,,,2.0,banana
,0.0,,0.0,,0.0,0.0,0.0,,2.0,,,,,0.0,,2.0,0.0,,0.0,,,0.0,exercise
,,,,,,,,,,,,,,,,,,,,,,,nsaid
0.0,,0.0,,0.0,2.0,,,2.0,,,,,0.0,,,,,0.0,,0.0,0.0,,Superlong nap
0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,,,,,,0.0,,0.0,0.0,,Mixed nuts snack
,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,,,,,2.0,0.0,,0.0,,,0.0,exercised
,,,,,,,,,,,,,,,,,,,,,,,THC
,2.0,,2.0,,2.0,2.0,2.0,,0.0,2.0,,,,2.0,,,2.0,,2.0,,,2.0,pool
,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,,,0.0,,,0.0,maple syrup
0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,,,,,,0.0,0.0,,slept in
,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,0.0,,,,,0.0,CoQ10
0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,,,,0.0,,,0.0,,no gluten
0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,,,,0.0,,0.0,,,mango
,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,0.0,,0.0,,,,beans
