Humira,Prednisone,Hemorrhoid Cream,Fish oil,Neti Pot,hydrocortisone suppository ,Flonase,Ginger,Vitamin C,anti-nausea pills,Iron,Ocella,Triamcinolone Cream,row
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Humira
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Prednisone
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Hemorrhoid Cream
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Fish oil
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,Neti Pot
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,hydrocortisone suppository 
0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Flonase
,,,,,,,,,,,,,Ginger
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,Vitamin C
,,,,,,,,,,,,,anti-nausea pills
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,Iron
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,Ocella
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,Triamcinolone Cream
