haircut,lunch outside,Ambien CR,Miralax low dose at night,severe pain,ate breakfast,lift x2,busy,housework,dairy,Vitamin b complex,cuddled kitten,ate gluten,butternut squash risotto,THC,Allegra,Physical therapy,Fish oil,Rest,spent day with others,Post-op ice device,cocodamol,drank a lot,flaxseed and fybogel,bed day,3 drinks,slept 7 hours,Claritin,pilates,Strattera,grocery shopping,Zofran,Hydroxyzine,meds,broken sleep,Slept well,Off work,Woke Up With Alarm,Vitamin C,listen to music ,eye drops,slept 11 hours,Klonopin,slept in,CBD,studied,Better sleep,Orgasm,new environment,bed late,Vitamin d,Ice pack,Late lunch,napped well,Norco,hiking,More stretching,physical therapy,short nap,Lying flat,slept well again,9 hours sleep,lots of walking,went swimming,vacation,2 naps,Physio,rest day,Oxynorm,shopping,crafting,lift,eye compress,Out to eat,slept 18 hours,stool softener,very little sleep,Zinc,Melatonin,Ate junk food,Wear shoulder brace,coconut,Alcohol,allergy shot,small breakfast,Sunlight,drank alcohol,Magnesium glycinate,5-htp,Nasonex,travel,Vitamin b12,eye ointment,gluten free,nap,8 hours sleep,dairy free,did some homework,party,Famotidine,out to club,Protecting back,knitting,strapping of shoulder,Astelin,Daytime nap,mass transit,heating pads,no breakfast,heavy physcial exertion,pool,Car travel,stress,Freezie wrap,Singulair,walked,cooked,drawing,cleaned closet,row
,,1.0,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,-1.0,,,,,,,,-1.0,,,,haircut
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lunch outside
1.0,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,-1.0,,,,,,,,-1.0,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,severe pain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lift x2
1.0,,1.0,,,,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,-1.0,,,,,,,,-1.0,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
