Nasonex,pur-absorb iron,Zofran,sugar free diet,Pain management,Migraine Diet,Vitamin B,Codeine,Zoladex,Soluble Aspirin,Buspirone,Ventolin,Vitamin a,Spironolactone,Lexapro,Iron,Meditation,Mirtazapine,DLPA,massage,Gabapentin,row
,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Nasonex
0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,pur-absorb iron
2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,2.0,,0.0,2.0,,,Zofran
,,,,,,,,,,,,,,,,,,,,,sugar free diet
0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Pain management
0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Migraine Diet
0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Vitamin B
0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Codeine
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Zoladex
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,,Soluble Aspirin
2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,,0.0,2.0,,,Buspirone
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,Ventolin
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,,2.0,0.0,,,Vitamin a
2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,2.0,,0.0,2.0,,,Spironolactone
,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,Lexapro
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,Iron
,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,Meditation
2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,2.0,,,2.0,,,Mirtazapine
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,,,,DLPA
,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,massage
,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,Gabapentin
