Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Butterbur,Pantoprazole,Metformin,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Benadryl,Enada,Progesterone,Vitamin B,Medication,Tranexamic acid,Gabapentin,Flexeril,excedrin migraine,Zomig,Montelukast,Vitamin d,Corticosteroids,row
,0.650318261714,0.0,2.0,2.0,,0.0,1.21903834231,,1.78196600947,0.57038017504,2.0,0.792583279317,,0.522329503691,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.034044451479,2.0,2.0,Dicyclomine
0.650318261714,,0.0,2.0,2.0,,0.0,1.9907115796,,0.689469322992,0.00376825435323,2.0,1.84396433048,,1.65604297576,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.419847506832,2.0,2.0,Tretinoin
0.0,0.0,,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0,Phyical Therapy - stretches
2.0,2.0,2.0,,0.0,,2.0,,,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0,Osteopathy
2.0,2.0,2.0,0.0,,,2.0,,,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0,Butterbur
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
0.0,0.0,0.0,2.0,2.0,,,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0,Metformin
1.21903834231,1.9907115796,,,,,,,,1.43690396274,1.97518460981,,0.0909351771054,,0.247423305293,,,,,,2.0,,,,1.46400699467,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
1.78196600947,0.689469322992,2.0,0.0,0.0,,2.0,1.43690396274,,,0.77308302569,0.0,1.7719583349,,1.92113400742,2.0,2.0,2.0,2.0,,0.0,2.0,,,1.5940861984,0.0,0.0,Zolmitriptan
0.57038017504,0.00376825435323,0.0,2.0,2.0,,0.0,1.97518460981,,0.77308302569,,2.0,1.7942614788,,1.58811272669,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.351390386097,2.0,2.0,Clinda-derm
2.0,2.0,2.0,0.0,0.0,,2.0,,,0.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0,Ubiquinol
0.792583279317,1.84396433048,0.0,2.0,2.0,,0.0,0.0909351771054,,1.7719583349,1.7942614788,2.0,,,0.0414899535622,0.0,0.0,0.0,0.0,,2.0,0.0,,,1.05272655456,2.0,2.0,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
0.522329503691,1.65604297576,0.0,2.0,2.0,,0.0,0.247423305293,,1.92113400742,1.58811272669,2.0,0.0414899535622,,,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.765876702593,2.0,2.0,Benadryl
0.0,0.0,0.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0,Enada
0.0,0.0,0.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,2.0,2.0,Progesterone
0.0,0.0,0.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,2.0,2.0,Vitamin B
0.0,0.0,0.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,2.0,2.0,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
0.0,0.0,,,,,,2.0,,0.0,0.0,,2.0,,2.0,,,,,,,,,,0.0,,,Gabapentin
0.0,0.0,0.0,2.0,2.0,,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,2.0,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.034044451479,0.419847506832,0.0,2.0,2.0,,0.0,1.46400699467,,1.5940861984,0.351390386097,2.0,1.05272655456,,0.765876702593,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,2.0,Montelukast
2.0,2.0,2.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,0.0,Vitamin d
2.0,2.0,2.0,0.0,0.0,,2.0,,,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,,Corticosteroids
