Coconut Oil Pulling,blueberries,Cetirizine hydrochloride,Vitamins,Fresh air,Psychotherapy,Beer,Vacation,Gelatin,Support worker assistance,Fishing,Acetaminophen,Borage oil,Curcumin,lots of walking,catheter,5-htp,row
,,,,,,,,2.0,,,,2.0,,,,,Coconut Oil Pulling
,,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,blueberries
,2.0,,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,Cetirizine hydrochloride
,2.0,0.0,,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,Vitamins
,2.0,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,Fresh air
,0.0,2.0,2.0,2.0,,0.0,2.0,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,Psychotherapy
,0.0,2.0,2.0,2.0,0.0,,2.0,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,Beer
,2.0,0.0,0.0,0.0,2.0,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,Vacation
2.0,,,,,,,,,,,,0.0,,,,,Gelatin
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,2.0,0.0,,0.0,0.0,0.0,0.0,Support worker assistance
,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,Fishing
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,0.0,Acetaminophen
2.0,,,,,,,,0.0,,,,,,,,,Borage oil
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,,0.0,0.0,0.0,Curcumin
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,,0.0,0.0,lots of walking
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,0.0,,0.0,catheter
,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,5-htp
